"Major","mean_earnings","median_earnings","two.five <- quantile(PERNP, 0.25)","seven.five <- quantile(PERNP, 0.75)","total_majors","number_employed","number_unemployed","unemployment_rate"
"BUSINESS ECONOMICS",100174.71596797,70000,40000,115000,2903,2123,97,4.6
"BUSINESS MANAGEMENT AND ADMINISTRATION",85047.3028966609,63300,39000,1e+05,94515,68251,2798,4.1
"CHEMICAL ENGINEERING",108023.985515643,90000,54000,130000,7687,5178,177,3.4
"CHEMISTRY",77896.9154042553,60000,30100,1e+05,9470,5875,265,4.5
"CIVIL ENGINEERING",94164.1992956619,80000,50000,110000,17407,12494,401,3.2
"CLINICAL PSYCHOLOGY",49015.6626506024,38200,22800,59000,140,83,8,9.6
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY",78626.3157894737,50000,28000,95500,205,171,9,5.3
"COMMERCIAL ART AND GRAPHIC DESIGN",63668.5975120385,50000,29775,78000,9171,7476,432,5.8
"COMMUNICATION DISORDERS SCIENCES AND SERVICES",58932.8502415459,50000,24500,78000,301,207,10,4.8
"COMMUNICATION TECHNOLOGIES",56956.7088353414,45000,27550,72000,2372,1992,122,6.1
"COMMUNICATIONS",77034.595965288,55000,32500,92000,20791,17746,847,4.8
"COMMUNITY AND PUBLIC HEALTH",63677.7985074627,50000,28000,80000,1012,804,30,3.7
"COMPOSITION AND RHETORIC",55382.6421370968,40000,22000,70000,1195,992,68,6.9
"COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY",68942.9131985731,60000,38000,86000,1954,1682,78,4.6
"COMPUTER AND INFORMATION SYSTEMS",76971.6947380131,69700,45000,1e+05,10236,8989,381,4.2
"COMPUTER ENGINEERING",97023.7398197078,85150,56000,120000,7298,6434,203,3.2
"COMPUTER NETWORKING AND TELECOMMUNICATIONS",70430.6598062954,58000,35000,90000,1870,1652,75,4.5
"COMPUTER PROGRAMMING AND DATA PROCESSING",71402.9573934837,62000,36000,93000,1004,798,46,5.8
"COMPUTER SCIENCE",95214.9818639231,83000,50000,120000,30551,26632,919,3.5
"CONSTRUCTION SERVICES",84887.0796460177,70000,45275,1e+05,4620,4068,106,2.6
"COSMETOLOGY SERVICES AND CULINARY ARTS",57019.6207224335,45000,27750,70000,1303,1052,47,4.5
"COUNSELING PSYCHOLOGY",49945.960591133,40000,23850,60000,267,203,8,3.9
"COURT REPORTING",60863.6363636364,47500,30000,80000,176,132,6,4.5
"CRIMINAL JUSTICE AND FIRE PROTECTION",64343.0573588261,54000,34000,81000,25629,20241,758,3.7
"CRIMINOLOGY",63183.758677686,50000,31000,80000,2402,1815,94,5.2
"DRAMA AND THEATER ARTS",56588.92530985,40000,22000,68750,3783,3066,221,7.2
"EARLY CHILDHOOD EDUCATION",49725.7918552036,38000,26000,52000,279,221,10,4.5
"ECOLOGY",60210.5718816068,47050,26000,75000,1154,946,47,5
"ECONOMICS",107186.252146086,70000,39450,120000,27298,19687,908,4.6
"EDUCATIONAL ADMINISTRATION AND SUPERVISION",71293.0555555556,47000,25750,80000,100,72,0,0
"EDUCATIONAL PSYCHOLOGY",61794.1176470588,52000,30000,80000,147,85,5,5.9
"ELECTRICAL ENGINEERING",101156.175320012,90000,56000,124000,33415,23671,813,3.4
"ELECTRICAL ENGINEERING TECHNOLOGY",80854.2499250824,73000,48000,1e+05,4227,3337,112,3.4
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",60615.7120500782,50000,30000,77500,831,639,28,4.4
"ELEMENTARY EDUCATION",50405.8026617715,42000,28000,60000,6784,4358,137,3.1
"ENGINEERING AND INDUSTRIAL MANAGEMENT",95758.6998341625,72000,44000,115000,2289,1206,50,4.1
"ENGINEERING MECHANICS PHYSICS AND SCIENCE",80951.3245033113,67000,34000,105000,889,604,20,3.3
"ENGINEERING TECHNOLOGIES",78495.7250755287,70000,44000,1e+05,1647,1324,55,4.2
"ENGLISH LANGUAGE AND LITERATURE",71100.6852637962,50000,25137.5,85000,18555,13192,739,5.6
"ENVIRONMENTAL ENGINEERING",80924.3267108168,70000,42000,1e+05,557,453,10,2.2
"ENVIRONMENTAL SCIENCE",64968.5951122853,51000,30000,80000,3580,3028,165,5.4
"FAMILY AND CONSUMER SCIENCES",63907.8434782609,48950,30000,76000,1546,1150,57,5
"FILM VIDEO AND PHOTOGRAPHIC ARTS",61955.6807799443,43700,22800,75000,4440,3590,306,8.5
"FINANCE",107114.240253579,75000,45000,120000,27582,23188,841,3.6
"FINE ARTS",60927.0557426113,45000,25000,75000,10874,8019,474,5.9
"FOOD SCIENCE",83391.1952277657,65000,38500,1e+05,606,461,20,4.3
"FORESTRY",66043.4213176668,55000,35000,80000,3729,2383,65,2.7
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES",67100.9716840537,47400,25000,80000,2845,2013,109,5.4
"GENERAL AGRICULTURE",68738.0244877561,50000,30000,80000,6032,4002,75,1.9
"GENERAL BUSINESS",92220.6109431366,65000,38800,105000,67121,47957,1720,3.6
"GENERAL EDUCATION",59899.8338052925,47000,30000,70000,16364,10241,338,3.3
"GENERAL ENGINEERING",90195.8540329972,75000,45000,110000,19064,13092,472,3.6
"GENERAL MEDICAL AND HEALTH SERVICES",57628.1960461285,45700,25000,72000,1545,1214,51,4.2
"GENERAL SOCIAL SCIENCES",67396.3401506997,50000,30000,84000,3026,1858,100,5.4
"GENETICS",70597.3214285714,50000,28000,80750,142,112,2,1.8
"GEOGRAPHY",66529.0008965929,53000,33100,82000,4443,3346,142,4.2
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING",106308.473684211,85500,50250,135750,275,190,4,2.1
"GEOLOGY AND EARTH SCIENCE",83288.7865699874,64000,35000,1e+05,4656,3172,158,5
"GEOSCIENCES",79702.7072072072,64500,36200,90000,295,222,13,5.9
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES",76617.0858629662,60000,39000,95000,1471,1153,56,4.9
"HEALTH AND MEDICAL PREPARATORY PROGRAMS",71550.1349206349,48000,22000,90000,711,378,24,6.3
"HISTORY",73581.0427929315,50000,28000,85000,23810,16241,826,5.1
"HOSPITALITY MANAGEMENT",70980.8965517241,50000,31000,82750,4463,3770,142,3.8
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT",78865.6708961142,60000,37000,96000,3518,2522,105,4.2
"HUMAN SERVICES AND COMMUNITY ORGANIZATION",56534,42000,27000,66500,866,630,38,6
"HUMANITIES",62863.9569536424,45000,24000,75000,850,604,38,6.3
"INDUSTRIAL AND MANUFACTURING ENGINEERING",97045.2679315132,79000,50000,112000,6100,4322,140,3.2
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY",88188.2692307692,65000,32000,110000,377,260,11,4.2
"INDUSTRIAL PRODUCTION TECHNOLOGIES",81030.1025151226,70000,45000,1e+05,4228,3141,114,3.6
"INFORMATION SCIENCES",84532.6960029336,75000,49000,105000,3051,2727,108,4
"INTERCULTURAL AND INTERNATIONAL STUDIES",64895.7851239669,45000,25000,75000,1054,847,54,6.4
"INTERDISCIPLINARY SOCIAL SCIENCES",69452.1776504298,50000,30000,85000,1011,698,40,5.7
"INTERNATIONAL BUSINESS",80513.9597701149,60000,35000,95250,2084,1740,76,4.4
"INTERNATIONAL RELATIONS",88062.9423357664,60000,30525,101000,1870,1370,75,5.5
"JOURNALISM",76051.8961318052,55000,33000,90000,9153,6980,351,5
"LANGUAGE AND DRAMA EDUCATION",50930.3263825929,42000,27000,60000,1637,1103,48,4.4
"LIBERAL ARTS",69865.0495164861,50000,30000,85000,12222,8583,435,5.1
"LIBRARY SCIENCE",34726.3157894737,29000,19975,48750,61,38,1,2.6
"LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE",64632.1550497866,45000,25000,80000,977,703,52,7.4
"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS",91970.1920731707,80000,51950,110000,5835,5248,139,2.6
"MARKETING AND MARKETING RESEARCH",92146.6618905843,65000,40000,107625,26838,21496,859,4
"MASS MEDIA",62785.6191985089,47900,27600,76500,6401,5365,315,5.9
"MATERIALS ENGINEERING AND MATERIALS SCIENCE",85391.950867052,76000,44900,105000,1021,692,23,3.3
"MATERIALS SCIENCE",78026.9172932331,64400,30000,1e+05,326,266,9,3.4
"MATHEMATICS",88882.4339252768,68000,35000,110000,13581,8672,361,4.2
"MATHEMATICS AND COMPUTER SCIENCE",106120.287769784,95500,60000,125000,327,278,9,3.2
"MATHEMATICS TEACHER EDUCATION",50816.9755600815,45000,29325,62000,1447,982,22,2.2
"MECHANICAL ENGINEERING",95418.9956942949,81000,54000,116500,29989,21367,688,3.2
"MECHANICAL ENGINEERING RELATED TECHNOLOGIES",76099.5690936107,65000,41425,92000,1630,1346,42,3.1
"MEDICAL ASSISTING SERVICES",80366.3829787234,62000,35000,1e+05,307,235,8,3.4
"MEDICAL TECHNOLOGIES TECHNICIANS",73215.1946959896,63000,45000,88000,1986,1546,49,3.2
"METALLURGICAL ENGINEERING",113919.910447761,92000,50000,136500,634,335,9,2.7
"MICROBIOLOGY",76003.5569105691,60000,31450,1e+05,1372,984,42,4.3
"MILITARY TECHNOLOGIES",89598.7654320988,65000,35000,1e+05,206,81,6,7.4
"MINING AND MINERAL ENGINEERING",107762.067164179,93000,55000,132450,618,402,13,3.2
"MISCELLANEOUS AGRICULTURE",70611.7910447761,51000,32225,80000,389,268,8,3
"MISCELLANEOUS BIOLOGY",57798.1177156177,49450,30000,72000,1117,858,21,2.4
"MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION",86274.9258172674,61000,37000,1e+05,2916,2386,102,4.3
"MISCELLANEOUS EDUCATION",63631.5415384615,51000,30000,79000,5841,3250,104,3.2
"MISCELLANEOUS ENGINEERING",89202.3660792952,74000,45000,105000,2908,2270,83,3.7
"MISCELLANEOUS ENGINEERING TECHNOLOGIES",78842.5467087111,68000,44000,1e+05,3042,2537,114,4.5
"MISCELLANEOUS FINE ARTS",44930.0380228137,36000,18750,61500,333,263,29,11
"MISCELLANEOUS HEALTH MEDICAL PROFESSIONS",52980.7065217391,43000,25000,63000,548,368,19,5.2
"MISCELLANEOUS PSYCHOLOGY",64310.2839116719,50000,27000,80000,470,317,22,6.9
"MISCELLANEOUS SOCIAL SCIENCES",76692.4332344214,55000,30000,95000,442,337,14,4.2
"MOLECULAR BIOLOGY",67230.4116504854,45000,24000,83000,675,515,22,4.3
"MULTI-DISCIPLINARY OR GENERAL SCIENCE",76434.5501858736,60000,35000,94000,8853,6187,255,4.1
"MULTI/INTERDISCIPLINARY STUDIES",54587.1442857143,44250,25000,70000,885,700,47,6.7
"MUSIC",52993.2817750183,39000,20000,65000,6904,5476,230,4.2
"NATURAL RESOURCES MANAGEMENT",63581.3389708528,50000,32000,75000,3510,2779,91,3.3
"NAVAL ARCHITECTURE AND MARINE ENGINEERING",103651.275415896,96000,55000,126000,884,541,18,3.3
"NEUROSCIENCE",48070.7777777778,30000,15000,54750,407,270,25,9.3
"NUCLEAR ENGINEERING",111188.153409091,1e+05,55875,140000,472,352,18,5.1
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",79061.421319797,63000,38000,1e+05,245,197,6,3
"NURSING",71846.2030051651,65000,45000,90000,7666,6389,169,2.6
"NUTRITION SCIENCES",54879.5252225519,39500,20000,65000,430,337,23,6.8
"OCEANOGRAPHY",77327.6859504132,62000,33150,98750,353,242,10,4.1
"OPERATIONS LOGISTICS AND E-COMMERCE",78826.0215897939,65000,44150,95000,2386,2038,58,2.8
"OTHER FOREIGN LANGUAGES",67589.415501906,47000,24000,80000,1172,787,42,5.3
"PETROLEUM ENGINEERING",173321.251840943,120000,65000,250000,1021,679,28,4.1
"PHARMACOLOGY",91648.5714285714,73500,31925,121500,103,70,4,5.7
"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION",109092.052597403,110000,60000,130000,5076,3080,73,2.4
"PHILOSOPHY AND RELIGIOUS STUDIES",61991.5469690887,42000,23000,72000,7238,4982,271,5.4
"PHYSICAL AND HEALTH EDUCATION TEACHING",58211.0632911392,47050,29000,70000,7760,5372,173,3.2
"PHYSICAL FITNESS PARKS RECREATION AND LEISURE",53767.2551761518,42000,25000,65000,10926,9225,373,4
"PHYSICAL SCIENCES",89610.8333333333,65500,31750,110000,349,240,7,2.9
"PHYSICS",84633.1139277389,65000,29375,110000,5341,3432,143,4.2
"PHYSIOLOGY",70670.6172839506,48000,22050,85000,1079,810,50,6.2
"PLANT SCIENCE AND AGRONOMY",69495.4558354026,53900,34000,83700,3644,2819,69,2.4
"POLITICAL SCIENCE AND GOVERNMENT",85951.4551308318,60000,32000,1e+05,23651,17083,955,5.6
"PRE-LAW AND LEGAL STUDIES",76256.2316546763,50000,29000,90000,968,695,38,5.5
"PSYCHOLOGY",66457.2678152836,48000,26800,80000,24094,17064,976,5.7
"PUBLIC ADMINISTRATION",78698.4610507246,63000,37450,1e+05,1644,1104,56,5.1
"PUBLIC POLICY",83964.1839762611,60000,35000,97000,422,337,26,7.7
"SCHOOL STUDENT COUNSELING",49775.5882352941,27000,7000,71500,44,34,0,0
"SCIENCE AND COMPUTER TEACHER EDUCATION",55723.7837235229,46000,30000,68000,1478,897,28,3.1
"SECONDARY TEACHER EDUCATION",54389.1678388747,45000,29100,65000,5499,3128,104,3.3
"SOCIAL PSYCHOLOGY",66727.7876106195,58000,32300,80000,210,113,5,4.4
"SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION",50625.6136263736,42000,25000,60000,3581,2275,77,3.4
"SOCIAL WORK",51829.5893782383,40000,26225,60000,2350,1544,89,5.8
"SOCIOLOGY",68139.4255604288,50000,30000,81000,11892,8208,398,4.8
"SOIL SCIENCE",67271.7307692308,60000,39050,85000,297,208,9,4.3
"SPECIAL NEEDS EDUCATION",52159.0949554896,45000,30000,62000,949,674,19,2.8
"STATISTICS AND DECISION SCIENCE",92543.7618147448,70000,35000,110000,688,529,22,4.2
"STUDIO ARTS",50298.517452007,39000,20000,61315,1467,1146,62,5.4
"TEACHER EDUCATION: MULTIPLE LEVELS",50077.637298091,41800,27400,59000,1021,681,20,2.9
"THEOLOGY AND RELIGIOUS VOCATIONS",46291.9454936281,38000,23000,56000,8877,6513,190,2.9
"TRANSPORTATION SCIENCES AND TECHNOLOGIES",91019.1127946128,72000,41000,115000,6100,4752,137,2.9
"TREATMENT THERAPY PROFESSIONS",71124.3260175579,63000,35000,90000,2938,2506,62,2.5
"UNITED STATES HISTORY",78510.6489675516,51000,26000,90000,554,339,20,5.9
"VISUAL AND PERFORMING ARTS",56536.6842105263,40000,23625,70000,704,570,51,8.9
"ZOOLOGY",72985.1795634921,54000,30000,92000,1594,1008,49,4.9
