"Major","mean_earnings","median_earnings","two.five <- quantile(PERNP, 0.25)","seven.five <- quantile(PERNP, 0.75)","total_majors","number_employed","number_unemployed","unemployment_rate"
"COMMUNICATION TECHNOLOGIES",52766.225466893,41000,25000,68000,3600,2945,188,6.4
"COMMUNICATIONS",62722.1753040719,46000,27000,75000,52015,41602,1967,4.7
"COMMUNITY AND PUBLIC HEALTH",47458.4310903203,38000,20000,60000,3715,2779,129,4.6
"COMPOSITION AND RHETORIC",45450.8460596162,34300,16500,57000,3177,2449,171,7
"COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY",65281.4863263446,55000,35000,83000,2632,2194,118,5.4
"COMPUTER AND INFORMATION SYSTEMS",72962.0899790559,65000,40000,95000,14697,12414,551,4.4
"COMPUTER ENGINEERING",92867.6391016487,82400,52000,115000,9167,7703,270,3.5
"COMPUTER NETWORKING AND TELECOMMUNICATIONS",66031.3518273888,53000,31100,83750,2655,2271,107,4.7
"COMPUTER PROGRAMMING AND DATA PROCESSING",66396.4776632302,57000,30225,90000,1535,1164,70,6
"COMPUTER SCIENCE",90082.439983673,80000,48000,113000,41247,34299,1310,3.8
"CONSTRUCTION SERVICES",82447.4802259887,67000,45000,1e+05,5075,4425,120,2.7
"COSMETOLOGY SERVICES AND CULINARY ARTS",47769.04626952,38000,21000,60000,2181,1729,83,4.8
"COUNSELING PSYCHOLOGY",39598.880484115,31000,19000,47000,944,661,40,6.1
"COURT REPORTING",57111.1111111111,45000,26000,78750,325,234,13,5.6
"CRIMINAL JUSTICE AND FIRE PROTECTION",56061.2951473923,46000,29000,72000,41931,33075,1442,4.4
"CRIMINOLOGY",53928.4363694065,43000,26000,68500,4133,3151,156,5
"DRAMA AND THEATER ARTS",46491.6860624315,34500,18000,56000,9467,7304,501,6.9
"EARLY CHILDHOOD EDUCATION",34532.601663006,32000,18000,43000,9050,6374,243,3.8
"ECOLOGY",49544.7486552567,38400,20000,62000,2590,2045,86,4.2
"ECONOMICS",95278.9235019734,62000,34900,109000,39788,27870,1299,4.7
"EDUCATIONAL ADMINISTRATION AND SUPERVISION",50274.2944785276,42200,15500,57500,227,163,3,1.8
"EDUCATIONAL PSYCHOLOGY",47168.1538461538,38050,19400,59750,698,390,16,4.1
"ELECTRICAL ENGINEERING",98590.4375426621,88000,54000,120000,37408,26370,957,3.6
"ELECTRICAL ENGINEERING TECHNOLOGY",78847.1307154384,71000,45000,1e+05,4850,3718,134,3.6
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",60609.1440798859,50000,30000,75000,915,701,32,4.6
"ELEMENTARY EDUCATION",38017.3525272637,36000,20000,49000,84592,44198,1282,2.9
"ENGINEERING AND INDUSTRIAL MANAGEMENT",90543.4817927171,69000,40000,107000,2602,1428,57,4
"ENGINEERING MECHANICS PHYSICS AND SCIENCE",78241.3294797688,65000,31150,100250,1022,692,21,3
"ENGINEERING TECHNOLOGIES",73517.9153702551,63000,39350,95000,2057,1607,74,4.6
"ENGLISH LANGUAGE AND LITERATURE",56116.4732347315,40000,20000,68000,59320,37119,1974,5.3
"ENVIRONMENTAL ENGINEERING",70461.1078286558,60000,30000,90000,860,677,19,2.8
"ENVIRONMENTAL SCIENCE",55460.7542032164,44100,24000,70000,6687,5472,281,5.1
"FAMILY AND CONSUMER SCIENCES",41864.2376657825,34000,18000,52000,22579,13195,514,3.9
"FILM VIDEO AND PHOTOGRAPHIC ARTS",53596.9717241379,38000,20000,65000,7311,5800,473,8.2
"FINANCE",94127.6951751833,65000,40000,105000,42311,34364,1236,3.6
"FINE ARTS",49635.1358879809,37000,19400,60000,30725,20068,1136,5.7
"FOOD SCIENCE",67564.8001912046,54000,30000,87750,1461,1046,49,4.7
"FORESTRY",63386.0269090909,54000,32125,78000,4245,2750,80,2.9
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES",53147.1077674897,40000,20000,64000,12562,7776,347,4.5
"GENERAL AGRICULTURE",63120.1692154916,48000,26000,75000,7488,5035,96,1.9
"GENERAL BUSINESS",79212.0396458665,56000,32000,95000,110462,77259,2896,3.7
"GENERAL EDUCATION",45707.6647151776,40000,22000,55000,73750,38603,1240,3.2
"GENERAL ENGINEERING",86859.4836191366,73000,40000,105000,22069,14987,570,3.8
"GENERAL MEDICAL AND HEALTH SERVICES",47761.3717977783,40000,20000,62000,6008,4411,215,4.9
"GENERAL SOCIAL SCIENCES",54368.5052878966,41000,24000,69000,7059,4255,219,5.1
"GENETICS",56862.9962546816,41600,25000,67800,345,267,4,1.5
"GEOGRAPHY",60687.5796561011,50000,30000,75000,6625,4827,217,4.5
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING",97539.5815899582,75000,45350,120000,341,239,5,2.1
"GEOLOGY AND EARTH SCIENCE",74362.59697733,57000,30000,90000,6369,4367,216,4.9
"GEOSCIENCES",69352.9064516129,55500,28000,80000,424,310,18,5.8
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES",55389.7379106681,45000,27000,71000,7075,5418,267,4.9
"HEALTH AND MEDICAL PREPARATORY PROGRAMS",57064.8447276941,40000,20000,70500,1554,863,48,5.6
"HISTORY",63863.1998971031,44000,24000,75000,39358,25268,1217,4.8
"HOSPITALITY MANAGEMENT",55934.3294463942,42000,25000,65000,10764,8833,348,3.9
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT",62935.958524723,50000,30000,78000,10048,7402,356,4.8
"HUMAN SERVICES AND COMMUNITY ORGANIZATION",41233.0231414521,35000,20800,50000,4757,3457,220,6.4
"HUMANITIES",50640.0430239705,38000,19600,60000,2572,1627,103,6.3
"INDUSTRIAL AND MANUFACTURING ENGINEERING",90926.5742286751,75000,44050,106000,7733,5510,200,3.6
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY",69995.1491365777,50000,25000,90000,923,637,44,6.9
"INDUSTRIAL PRODUCTION TECHNOLOGIES",79304.8332354668,67500,42000,99000,4595,3406,138,4.1
"INFORMATION SCIENCES",79560.8938796953,70000,44000,1e+05,4432,3807,151,4
"INTERCULTURAL AND INTERNATIONAL STUDIES",50083.0729166667,36000,18000,61000,3249,2496,157,6.3
"INTERDISCIPLINARY SOCIAL SCIENCES",49683.8576939563,38000,23000,60000,3437,2333,125,5.4
"INTERNATIONAL BUSINESS",68204.6865353912,50000,30000,80000,4715,3758,173,4.6
"INTERNATIONAL RELATIONS",70145.2886857863,49500,25000,85000,4360,3173,168,5.3
"JOURNALISM",63663.9507900133,48000,27000,79000,22402,16582,792,4.8
"LANGUAGE AND DRAMA EDUCATION",40372.7005988024,36600,19200,50000,10065,5678,209,3.7
"LIBERAL ARTS",55610.6481743285,42000,24000,70000,31259,20513,1003,4.9
"LIBRARY SCIENCE",38737.1428571429,32250,17125,50000,889,350,12,3.4
"LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE",51823.5904480135,36000,18000,62000,3880,2366,159,6.7
"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS",84643.8659217877,75000,47000,104000,9169,7876,243,3.1
"MARKETING AND MARKETING RESEARCH",73446.263177803,52000,30500,89000,57330,44943,1791,4
"MASS MEDIA",55977.8550548112,42000,24282.5,69000,12103,9852,593,6
"MATERIALS ENGINEERING AND MATERIALS SCIENCE",79777.4094401756,71000,37000,1e+05,1325,911,28,3.1
"MATERIALS SCIENCE",72436.972972973,62000,30000,93750,462,370,11,3
"MATHEMATICS",76721.5976347087,57000,30000,1e+05,24419,15051,564,3.7
"MATHEMATICS AND COMPUTER SCIENCE",93747.9277108434,85000,50000,119000,524,415,14,3.4
"MATHEMATICS TEACHER EDUCATION",42707.5575638507,39000,20000,53000,3978,2545,59,2.3
"MECHANICAL ENGINEERING",93615.3547074445,80000,52000,115000,32656,23346,764,3.3
"MECHANICAL ENGINEERING RELATED TECHNOLOGIES",75863.2564640112,65000,40000,92500,1741,1431,44,3.1
"MEDICAL ASSISTING SERVICES",50661.0670003851,45000,27000,64000,3500,2597,69,2.7
"MEDICAL TECHNOLOGIES TECHNICIANS",59003.0621921182,55000,35000,73000,9300,6496,178,2.7
"METALLURGICAL ENGINEERING",108236.272965879,86000,48000,130000,704,381,10,2.6
"MICROBIOLOGY",63744.4697597349,50000,27000,81000,3663,2414,106,4.4
"MILITARY TECHNOLOGIES",86005.4347826087,60500,34500,97250,222,92,6,6.5
"MINING AND MINERAL ENGINEERING",105291.649885584,90000,52000,130000,663,437,15,3.4
"MISCELLANEOUS AGRICULTURE",56110.87890625,43750,26675,65000,691,512,11,2.1
"MISCELLANEOUS BIOLOGY",52107.5112517581,44950,25000,68000,1890,1422,61,4.3
"MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION",70167.6791481395,50000,30000,80000,5802,4273,215,5
"MISCELLANEOUS EDUCATION",52728.3238993711,43000,23000,65000,13380,6678,201,3
"MISCELLANEOUS ENGINEERING",84654.773099851,70000,40000,1e+05,3503,2684,105,3.9
"MISCELLANEOUS ENGINEERING TECHNOLOGIES",75220.9771316563,65000,40000,95000,3755,3061,136,4.4
"MISCELLANEOUS FINE ARTS",40778.4042553191,33000,18000,55000,600,470,41,8.7
"MISCELLANEOUS HEALTH MEDICAL PROFESSIONS",43866.799249531,36000,20000,55000,4071,2665,122,4.6
"MISCELLANEOUS PSYCHOLOGY",46777.0829975826,35000,20000,60000,1847,1241,76,6.1
"MISCELLANEOUS SOCIAL SCIENCES",63791.3505311077,46100,25000,80000,904,659,30,4.6
"MOLECULAR BIOLOGY",56317.0354868062,40000,21500,70000,1521,1099,53,4.8
"MULTI-DISCIPLINARY OR GENERAL SCIENCE",63415.4152528414,50000,29000,80000,17883,12142,477,3.9
"MULTI/INTERDISCIPLINARY STUDIES",43465.2259150189,40000,23800,51000,2999,2377,123,5.2
"MUSIC",45206.9971247844,34000,16000,56000,15147,10434,427,4.1
"NATURAL RESOURCES MANAGEMENT",57124.0039613766,47000,28000,70000,5108,4039,127,3.1
"NAVAL ARCHITECTURE AND MARINE ENGINEERING",102953.250883392,96000,52250,126000,916,566,19,3.4
"NEUROSCIENCE",39312.9160063391,28000,12000,45500,941,631,47,7.4
"NUCLEAR ENGINEERING",107264.87244898,98000,54250,135250,535,392,19,4.8
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",61514.3002028398,52000,35000,75000,602,493,15,3
"NURSING",60846.5036764706,58000,40000,78000,99572,70992,1511,2.1
"NUTRITION SCIENCES",45658.0831706365,36200,19100,60000,3697,2561,128,5
"OCEANOGRAPHY",62696.690647482,45000,25000,80000,586,417,22,5.3
"OPERATIONS LOGISTICS AND E-COMMERCE",74467.2391608392,62000,40000,90000,3434,2860,86,3
"OTHER FOREIGN LANGUAGES",54903.7336130047,39500,20000,66000,3214,1907,115,6
"PETROLEUM ENGINEERING",166165.461441214,118000,60000,221000,1175,791,33,4.2
"PHARMACOLOGY",75308.7912087912,60000,25625,110000,269,182,8,4.4
"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION",96161.5513575401,1e+05,50000,125000,9528,6114,176,2.9
"PHILOSOPHY AND RELIGIOUS STUDIES",55724.6958594388,39000,20000,65000,11179,7342,404,5.5
"PHYSICAL AND HEALTH EDUCATION TEACHING",50922.0780346821,42000,24000,61000,15219,9688,325,3.4
"PHYSICAL FITNESS PARKS RECREATION AND LEISURE",46652.2817785215,38000,20000,58000,20760,16733,629,3.8
"PHYSICAL SCIENCES",80890.2597402597,60000,30000,1e+05,460,308,11,3.6
"PHYSICS",79991.8400878906,60000,28000,105000,6449,4096,171,4.2
"PHYSIOLOGY",53707.4473684211,38000,18000,66250,2632,1900,99,5.2
"PLANT SCIENCE AND AGRONOMY",61174.7914494265,48000,27225,75000,5108,3836,107,2.8
"POLITICAL SCIENCE AND GOVERNMENT",75024.448699474,50150,29000,90000,39291,27758,1505,5.4
"PRE-LAW AND LEGAL STUDIES",56658.9938373048,42500,26900,67000,3286,2434,125,5.1
"PSYCHOLOGY",49572.4071589972,37000,20000,60000,80368,55762,2996,5.4
"PUBLIC ADMINISTRATION",67563.149231532,52000,30000,85000,2986,2017,117,5.8
"PUBLIC POLICY",72046.6273932253,50000,30000,83000,885,679,44,6.5
"SCHOOL STUDENT COUNSELING",41069.7040816327,30000,11875,54000,136,98,5,5.1
"SCIENCE AND COMPUTER TEACHER EDUCATION",46795.1157894737,40000,25000,57000,3380,1995,65,3.3
"SECONDARY TEACHER EDUCATION",46618.2493553769,40000,22000,58000,13018,6593,228,3.5
"SOCIAL PSYCHOLOGY",53930.6709265176,42000,27500,70000,550,313,18,5.8
"SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION",46039.7286897224,39000,21225,55000,7094,4106,149,3.6
"SOCIAL WORK",40285.3505757003,35000,20500,50000,17415,11638,491,4.2
"SOCIOLOGY",52752.0865907546,40000,24000,65000,36478,23536,1144,4.9
"SOIL SCIENCE",61897,53500,33225,80250,370,260,15,5.8
"SPECIAL NEEDS EDUCATION",40816.2312599681,38800,23000,52000,8332,5643,165,2.9
"STATISTICS AND DECISION SCIENCE",81807.0916754478,62000,31500,1e+05,1299,949,38,4
"STUDIO ARTS",40349.5038507109,30000,15000,50000,4566,3376,181,5.4
"TEACHER EDUCATION: MULTIPLE LEVELS",39014.4876111817,36000,21525,48250,5046,3148,69,2.2
"THEOLOGY AND RELIGIOUS VOCATIONS",41770.4442475916,33900,19000,52000,13368,9031,305,3.4
"TRANSPORTATION SCIENCES AND TECHNOLOGIES",88343.8739829707,70000,40000,110000,6813,5285,162,3.1
"TREATMENT THERAPY PROFESSIONS",57556.5055432373,51000,30000,78000,13487,10373,244,2.4
"UNITED STATES HISTORY",69675.9491193738,50000,25100,80000,927,511,27,5.3
"VISUAL AND PERFORMING ARTS",41552.9377208481,30100,16000,50000,2929,2264,137,6.1
"ZOOLOGY",58153.8156979632,43000,23000,75000,3210,2013,75,3.7
