"Major","mean_earnings","median_earnings","two.five <- quantile(PERNP, 0.25)","seven.five <- quantile(PERNP, 0.75)","total_majors","number_employed","number_unemployed","unemployment_rate"
"CLINICAL PSYCHOLOGY",27532.0720720721,24000,13000,35000,158,111,12,10.8
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY",28694.9404761905,24500,10000,40000,220,168,9,5.4
"COMMERCIAL ART AND GRAPHIC DESIGN",31168.5214408233,30000,14500,41600,4848,4081,298,7.3
"COMMUNICATION DISORDERS SCIENCES AND SERVICES",32103.1437618746,29000,11000,48000,2000,1579,68,4.3
"COMMUNICATION TECHNOLOGIES",29758.0707070707,26000,13850,40000,940,792,68,8.6
"COMMUNICATIONS",31886.1078612859,30000,15000,42000,9448,8103,546,6.7
"COMMUNITY AND PUBLIC HEALTH",28002.7887323944,24000,10400,40000,1369,1065,68,6.4
"COMPOSITION AND RHETORIC",23377.1791613723,20000,10000,33000,960,787,71,9
"COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY",40727.599009901,36000,20000,53250,483,404,27,6.7
"COMPUTER AND INFORMATION SYSTEMS",42335.9390862944,40000,19800,60000,2008,1576,126,8
"COMPUTER ENGINEERING",55490.3827160494,56000,25000,76000,2207,1701,100,5.9
"COMPUTER NETWORKING AND TELECOMMUNICATIONS",36859.8176291793,31000,15000,50000,388,329,23,7
"COMPUTER PROGRAMMING AND DATA PROCESSING",39927.7456647399,36000,18000,53000,223,173,20,11.6
"COMPUTER SCIENCE",53106.1416581372,50000,24000,70000,6213,4885,287,5.9
"CONSTRUCTION SERVICES",48089.3098782138,50000,29650,61000,801,739,23,3.1
"COSMETOLOGY SERVICES AND CULINARY ARTS",25525.7178217822,24000,13000,35000,485,404,23,5.7
"COUNSELING PSYCHOLOGY",27146.7980295566,25000,13300,35000,247,203,6,3
"COURT REPORTING",23784.375,21050,10750,32750,39,32,1,3.1
"CRIMINAL JUSTICE AND FIRE PROTECTION",30440.2554710539,28000,15000,40000,7786,6443,484,7.5
"CRIMINOLOGY",29681.6624040921,27000,12525,40000,984,782,71,9.1
"DRAMA AND THEATER ARTS",24288.1327178304,20000,10000,31000,2089,1733,159,9.2
"EARLY CHILDHOOD EDUCATION",27319.5149253731,28000,15000,37000,1832,1608,68,4.2
"ECOLOGY",23851.9769673704,20000,10000,31000,636,521,37,7.1
"ECONOMICS",45465.1764824526,40000,20000,60000,6451,4958,375,7.6
"EDUCATIONAL ADMINISTRATION AND SUPERVISION",34989.0410958904,35000,15000,44000,76,73,0,0
"EDUCATIONAL PSYCHOLOGY",29653.8461538462,30000,14250,42000,94,78,0,0
"ELECTRICAL ENGINEERING",49675.2577649696,50000,21000,70000,4128,3123,180,5.8
"ELECTRICAL ENGINEERING TECHNOLOGY",45058.1230769231,45000,16900,65000,474,325,22,6.8
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",40081.5789473684,30000,19750,49500,111,95,5,5.3
"ELEMENTARY EDUCATION",28517.8365954923,30000,15000,38500,7671,6744,240,3.6
"ENGINEERING AND INDUSTRIAL MANAGEMENT",39434.1176470588,33000,14000,60000,113,85,2,2.4
"ENGINEERING MECHANICS PHYSICS AND SCIENCE",43744.7852760736,35000,18600,65000,195,163,5,3.1
"ENGINEERING TECHNOLOGIES",40520.0495049505,37750,20000,53000,249,202,11,5.4
"ENGLISH LANGUAGE AND LITERATURE",28035.0890410959,25000,12000,40000,9017,7154,547,7.6
"ENVIRONMENTAL ENGINEERING",35412.036199095,30000,15000,55000,278,221,13,5.9
"ENVIRONMENTAL SCIENCE",27611.8081435473,24000,12000,38000,1794,1449,132,9.1
"FAMILY AND CONSUMER SCIENCES",25963.7567232106,24000,12000,35000,2963,2417,114,4.7
"FILM VIDEO AND PHOTOGRAPHIC ARTS",27720.0930521092,24000,11925,36000,1957,1612,179,11.1
"FINANCE",46973.4848435988,42000,25000,60000,7439,6202,339,5.5
"FINE ARTS",25969.915503876,21000,10800,35000,3226,2580,229,8.9
"FOOD SCIENCE",36647.0192307692,37250,17000,53250,267,208,15,7.2
"FORESTRY",32139.7282608696,31000,20000,42000,207,184,11,6
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES",27434.913473424,24000,12000,40000,2011,1618,106,6.6
"GENERAL AGRICULTURE",34428.5935613682,30000,15000,47000,589,497,13,2.6
"GENERAL BUSINESS",38250.3121944945,35000,19600,50000,9629,7774,506,6.5
"GENERAL EDUCATION",30319.9895722494,30000,15000,40000,5591,4699,202,4.3
"GENERAL ENGINEERING",46717.1436651584,46000,20000,65000,2415,1768,105,5.9
"GENERAL MEDICAL AND HEALTH SERVICES",29237.3674242424,23700,10000,42000,2096,1584,102,6.4
"GENERAL SOCIAL SCIENCES",29682.757793765,27000,14000,40000,551,417,37,8.9
"GENETICS",30084.7619047619,28000,16600,40000,147,105,3,2.9
"GEOGRAPHY",30739.3823529412,28000,14625,41725,837,680,49,7.2
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING",48431.8518518519,50000,30500,60500,29,27,1,3.7
"GEOLOGY AND EARTH SCIENCE",32885.5828220859,27150,13650,43000,793,652,48,7.4
"GEOSCIENCES",30231.9587628866,25000,12000,40000,111,97,0,0
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES",31136.7067833698,30000,15000,42000,1074,914,56,6.1
"HEALTH AND MEDICAL PREPARATORY PROGRAMS",35274.0837837838,25000,10550,50000,641,370,28,7.6
"HISTORY",29749.0182666148,25000,12000,40000,6653,5146,395,7.7
"HOSPITALITY MANAGEMENT",30529.5129835718,29300,15000,40000,2178,1887,85,4.5
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT",35702.7524972253,33000,20000,45000,1049,901,44,4.9
"HUMAN SERVICES AND COMMUNITY ORGANIZATION",26804.2350332594,25000,14250,34500,542,451,30,6.7
"HUMANITIES",23895.9692982456,20000,10000,32250,310,228,20,8.8
"INDUSTRIAL AND MANUFACTURING ENGINEERING",51300.9587217044,54000,28000,69000,901,751,34,4.5
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY",33984.4036697248,30000,11400,40000,135,109,11,10.1
"INDUSTRIAL PRODUCTION TECHNOLOGIES",38546.6257668712,38000,20750,53000,181,163,7,4.3
"INFORMATION SCIENCES",44466.3736462094,40000,22000,61000,660,554,33,6
"INTERCULTURAL AND INTERNATIONAL STUDIES",28425.7053571429,24000,10000,40000,1419,1120,86,7.7
"INTERDISCIPLINARY SOCIAL SCIENCES",32029.0196078431,26000,12000,37125,522,408,34,8.3
"INTERNATIONAL BUSINESS",38811.8191841235,36000,18000,52000,1146,907,67,7.4
"INTERNATIONAL RELATIONS",34687.5805277525,32000,14000,50000,1459,1099,91,8.3
"JOURNALISM",31836.2196914034,30000,16000,42000,3162,2722,182,6.7
"LANGUAGE AND DRAMA EDUCATION",28919.0025146689,31000,15000,40000,1389,1193,38,3.2
"LIBERAL ARTS",27991.3305288462,25000,12000,39625,3241,2496,191,7.7
"LIBRARY SCIENCE",27245.4545454545,22250,14850,36250,57,44,4,9.1
"LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE",26477.7312390925,20200,10000,36800,791,573,51,8.9
"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS",44675.1101152369,42000,24000,60000,917,781,48,6.1
"MARKETING AND MARKETING RESEARCH",36979.7367516849,35000,20000,50000,8641,7567,428,5.7
"MASS MEDIA",29728.242506812,26000,14000,40000,2643,2202,207,9.4
"MATERIALS ENGINEERING AND MATERIALS SCIENCE",43784.6590909091,43000,17750,62000,224,176,8,4.5
"MATERIALS SCIENCE",41804.4791666667,33150,22000,60000,239,192,6,3.1
"MATHEMATICS",37320.0136894825,31000,15400,50000,3718,2995,154,5.1
"MATHEMATICS AND COMPUTER SCIENCE",67756.7567567568,50000,28000,98000,46,37,1,2.7
"MATHEMATICS TEACHER EDUCATION",30514.5230769231,34000,15700,40775,720,650,14,2.2
"MECHANICAL ENGINEERING",49765.0437455663,53000,25000,69000,5016,4229,198,4.7
"MECHANICAL ENGINEERING RELATED TECHNOLOGIES",40936.3285024155,45000,20000,59000,233,207,10,4.8
"MEDICAL ASSISTING SERVICES",37172.3404255319,33300,15000,50000,515,423,27,6.4
"MEDICAL TECHNOLOGIES TECHNICIANS",37079.560761347,40000,20000,50000,805,683,26,3.8
"METALLURGICAL ENGINEERING",41840,25800,19500,57250,26,20,1,5
"MICROBIOLOGY",28422.5287356322,26000,10500,39150,669,435,26,6
"MILITARY TECHNOLOGIES",24883.3333333333,22500,18500,34225,10,6,0,0
"MINING AND MINERAL ENGINEERING",66707.8947368421,62500,34450,82250,45,38,3,7.9
"MISCELLANEOUS AGRICULTURE",32884.4827586207,32450,18000,43000,121,116,1,0.9
"MISCELLANEOUS BIOLOGY",30915.5614754098,26000,13000,40000,678,488,29,5.9
"MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION",38653.5398601399,35000,18000,50000,877,715,61,8.5
"MISCELLANEOUS EDUCATION",33924.5011600928,35000,20000,44000,496,431,20,4.6
"MISCELLANEOUS ENGINEERING",45765.201793722,45000,20000,62000,556,446,24,5.4
"MISCELLANEOUS ENGINEERING TECHNOLOGIES",41956.4070351759,37750,20000,57750,471,398,25,6.3
"MISCELLANEOUS FINE ARTS",29698.5875706215,24000,10000,41000,225,177,23,13
"MISCELLANEOUS HEALTH MEDICAL PROFESSIONS",28563.2093933464,27000,11250,40000,680,511,34,6.7
"MISCELLANEOUS PSYCHOLOGY",26280.8060453401,23500,10300,36000,497,397,16,4
"MISCELLANEOUS SOCIAL SCIENCES",32051.8987341772,30350,13075,45000,191,158,6,3.8
"MOLECULAR BIOLOGY",30432.4293478261,25000,12000,41000,843,552,38,6.9
"MULTI-DISCIPLINARY OR GENERAL SCIENCE",33491.6316088687,29500,12900,46000,2433,1759,120,6.8
"MULTI/INTERDISCIPLINARY STUDIES",29587,28000,15000,41000,672,560,31,5.5
"MUSIC",23364.0597594102,20000,9600,32500,3223,2577,159,6.2
"NATURAL RESOURCES MANAGEMENT",27065.4915730337,24000,12950,38000,820,712,38,5.3
"NAVAL ARCHITECTURE AND MARINE ENGINEERING",56700,45000,25000,75000,93,53,6,11.3
"NEUROSCIENCE",28412.9945553539,25000,10000,40000,851,551,43,7.8
"NUCLEAR ENGINEERING",53079.5180722892,45600,23000,68500,115,83,6,7.2
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",40454.0540540541,38000,23350,53000,96,74,5,6.8
"NURSING",42455.5379289278,44000,25000,56000,11153,9821,319,3.2
"NUTRITION SCIENCES",27310.4057591623,24000,10000,40000,1026,764,57,7.5
"OCEANOGRAPHY",27760.824742268,23000,10000,38000,133,97,9,9.3
"OPERATIONS LOGISTICS AND E-COMMERCE",46448.8167456556,48000,28000,60000,724,633,21,3.3
"OTHER FOREIGN LANGUAGES",26467.2105263158,21500,9600,35000,552,380,35,9.2
"PETROLEUM ENGINEERING",68993.75,61000,20750,105000,175,152,6,3.9
"PHARMACOLOGY",42236.3636363636,29000,16600,55000,69,44,4,9.1
"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION",51147.4776785714,40000,13000,87700,1201,896,37,4.1
"PHILOSOPHY AND RELIGIOUS STUDIES",28197.6516549105,23000,10000,38000,2495,1843,136,7.4
"PHYSICAL AND HEALTH EDUCATION TEACHING",28157.1732817038,28000,15000,39500,1224,1033,57,5.5
"PHYSICAL FITNESS PARKS RECREATION AND LEISURE",27044.2355475763,23000,10000,38000,6914,5570,305,5.5
"PHYSICAL SCIENCES",23702.7027027027,20800,12000,34000,51,37,2,5.4
"PHYSICS",33053.2508250825,26000,15000,42625,1538,1212,52,4.3
"PHYSIOLOGY",29209.0734055355,21700,9000,40850,1244,831,57,6.9
"PLANT SCIENCE AND AGRONOMY",31408.6069651741,28000,16000,41000,452,402,13,3.2
"POLITICAL SCIENCE AND GOVERNMENT",34740.0046801872,30000,13200,47000,8452,6410,518,8.1
"PRE-LAW AND LEGAL STUDIES",32968.0200501253,28000,15000,40000,532,399,26,6.5
"PSYCHOLOGY",26407.6742373784,23700,11200,36000,18898,15014,1037,6.9
"PUBLIC ADMINISTRATION",33050.6849315068,30000,18500,43250,272,219,22,10
"PUBLIC POLICY",37830.8429118774,33000,14300,50000,330,261,23,8.8
"SCHOOL STUDENT COUNSELING",28493.9393939394,30000,15000,41000,35,33,1,3
"SCIENCE AND COMPUTER TEACHER EDUCATION",30445.0561797753,32000,18000,40000,328,267,12,4.5
"SECONDARY TEACHER EDUCATION",29938.2183908046,32000,17000,40000,785,696,28,4
"SOCIAL PSYCHOLOGY",31740,30300,20000,43250,50,40,1,2.5
"SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION",29825.365551425,30000,15600,40000,916,807,27,3.3
"SOCIAL WORK",27156.7341663076,26400,13000,36000,2799,2321,138,5.9
"SOCIOLOGY",28780.1610606433,26000,13000,40000,4999,4073,294,7.2
"SOIL SCIENCE",34716.6666666667,34650,20125,48000,33,30,1,3.3
"SPECIAL NEEDS EDUCATION",31509.8408910103,33300,20000,40000,1410,1257,42,3.3
"STATISTICS AND DECISION SCIENCE",43507.6923076923,36000,17750,60000,348,247,15,6.1
"STUDIO ARTS",23521.8567639257,20000,10025,31975,890,754,43,5.7
"TEACHER EDUCATION: MULTIPLE LEVELS",29216.7018072289,30000,17900,38000,739,664,13,2
"THEOLOGY AND RELIGIOUS VOCATIONS",24522.2085889571,20000,10875,33000,1607,1304,64,4.9
"TRANSPORTATION SCIENCES AND TECHNOLOGIES",38482.7826086957,32000,19050,50000,717,575,25,4.3
"TREATMENT THERAPY PROFESSIONS",33535.2559782609,30000,12000,49550,2311,1840,83,4.5
"UNITED STATES HISTORY",30108.2191780822,28000,12400,40000,92,73,4,5.5
"VISUAL AND PERFORMING ARTS",23395.0158730159,20000,10000,32000,742,630,47,7.5
"ZOOLOGY",26302.813559322,20000,10000,34000,390,295,12,4.1
