"Major","Major_Category","total_majors","employed","unemployed","mean_earnings","median_earnings","quantile(PERNP, 0.25)","quantile(PERNP, 0.75)","unemployment_rate"
"COMPUTER ENGINEERING","Engineering",1869,1269,67,71795.6516942474,66500,31000,1e+05,5.3
"COMPUTER NETWORKING AND TELECOMMUNICATIONS","Computers & Mathematics",785,619,32,54290.3877221325,44000,24000,71000,5.2
"COMPUTER PROGRAMMING AND DATA PROCESSING","Computers & Mathematics",531,366,24,55480.7103825137,50000,20150,76750,6.6
"COMPUTER SCIENCE","Computers & Mathematics",10696,7667,391,72254.1035607147,65000,35000,1e+05,5.1
"CONSTRUCTION SERVICES","Industrial Arts & Consumer Services",455,357,14,54648.3473389356,50000,28000,75000,3.9
"COSMETOLOGY SERVICES AND CULINARY ARTS","Industrial Arts & Consumer Services",878,677,36,33394.4460856721,28000,15000,45000,5.3
"COUNSELING PSYCHOLOGY","Psychology & Social Work",677,458,32,35012.7292576419,30000,17000,43000,7
"COURT REPORTING","Law & Public Policy",149,102,7,52254.9019607843,39450,23125,70000,6.9
"CRIMINAL JUSTICE AND FIRE PROTECTION","Law & Public Policy",16302,12834,684,42999.8062178588,37200,23000,55000,5.3
"CRIMINOLOGY","Social Science",1731,1336,62,41354.7761976048,35950,21000,52000,4.6
"DRAMA AND THEATER ARTS","Arts",5684,4238,280,39186.7932987258,30000,15000,50000,6.6
"EARLY CHILDHOOD EDUCATION","Education",8771,6153,233,33986.9011864131,31200,18000,42000,3.8
"ECOLOGY","Biology & Life Science",1436,1099,39,40363.7943585077,33000,17900,52000,3.5
"ECONOMICS","Social Science",12490,8183,391,66631.7795429549,50000,25000,81000,4.8
"EDUCATIONAL ADMINISTRATION AND SUPERVISION","Education",127,91,3,33644.0659340659,30000,12600,50000,3.3
"EDUCATIONAL PSYCHOLOGY","Psychology & Social Work",551,305,11,43092.0655737705,35000,17000,50000,3.6
"ELECTRICAL ENGINEERING TECHNOLOGY","Engineering",623,381,22,61267.7165354331,60000,32000,85000,5.8
"ELECTRICAL ENGINEERING","Engineering",3993,2699,144,76088.1852537977,70000,35000,1e+05,5.3
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION","Industrial Arts & Consumer Services",84,62,4,60541.4516129032,33500,18875,57500,6.5
"ELEMENTARY EDUCATION","Education",77808,39840,1145,36662.2103162651,35000,18900,48000,2.9
"ENGINEERING AND INDUSTRIAL MANAGEMENT","Engineering",313,222,7,62212.1621621622,50000,27600,80000,3.2
"ENGINEERING MECHANICS PHYSICS AND SCIENCE","Engineering",133,88,1,59640.9090909091,55000,19050,87500,1.1
"ENGINEERING TECHNOLOGIES","Engineering",410,283,19,50229.5053003534,40000,26000,66500,6.7
"ENGLISH LANGUAGE AND LITERATURE","Humanities & Liberal Arts",40765,23927,1235,47855.0227776152,38000,18500,60000,5.2
"ENVIRONMENTAL ENGINEERING","Engineering",303,224,9,49301.1160714286,42000,22900,70500,4
"ENVIRONMENTAL SCIENCE","Biology & Life Science",3107,2444,116,43680.990589198,35550,18000,57000,4.7
"FAMILY AND CONSUMER SCIENCES","Industrial Arts & Consumer Services",21033,12045,457,39759.6177667082,32500,17300,50000,3.8
"FILM VIDEO AND PHOTOGRAPHIC ARTS","Arts",2871,2210,167,40018.7972850679,31000,16000,50000,7.6
"FINANCE","Business",14729,11176,395,67183.1705440229,52000,30000,80000,3.5
"FINE ARTS","Arts",19851,12049,662,42119.9972611835,32000,15600,53000,5.5
"FOOD SCIENCE","Agriculture & Natural Resources",855,585,29,55093.0598290598,45000,25000,72000,5
"FORESTRY","Agriculture & Natural Resources",516,367,15,46131.0653950954,40000,20000,63700,4.1
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES","Humanities & Liberal Arts",9717,5763,238,48273.0615998612,37100,18000,60000,4.1
"GENERAL AGRICULTURE","Agriculture & Natural Resources",1456,1033,21,41355.738625363,33800,17000,53000,2
"GENERAL BUSINESS","Business",43341,29302,1176,57921.6139512661,45000,26000,72000,4
"GENERAL EDUCATION","Education",57386,28362,902,40583.1317608067,37000,20000,50000,3.2
"GENERAL ENGINEERING","Engineering",3005,1895,98,63809.4775725594,55000,28000,85000,5.2
"GENERAL MEDICAL AND HEALTH SERVICES","Health",4463,3197,164,44014.6327807319,36000,18000,60000,5.1
"GENERAL SOCIAL SCIENCES","Social Science",4033,2397,119,44270.1668752607,36000,20000,56000,5
"GENETICS","Biology & Life Science",203,155,2,46938.8387096774,37800,22950,60000,1.3
"GEOGRAPHY","Social Science",2182,1481,75,47490.1485482782,39600,21000,60000,5.1
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING","Engineering",66,49,1,63537.7551020408,55000,25000,82000,2
"GEOLOGY AND EARTH SCIENCE","Physical Sciences",1713,1195,58,50668.9790794979,40000,20000,65000,4.9
"GEOSCIENCES","Physical Sciences",129,88,5,43243.1818181818,34000,19350,58250,5.7
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES","Health",5604,4265,211,49651.1371629543,41000,25000,65000,4.9
"HEALTH AND MEDICAL PREPARATORY PROGRAMS","Health",843,485,24,45775.2783505155,35500,18600,60000,4.9
"HISTORY","Humanities & Liberal Arts",15548,9027,391,46379.2643181566,36000,18300,58000,4.3
"HOSPITALITY MANAGEMENT","Business",6301,5063,206,44730.3875172822,37000,20000,55000,4.1
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT","Business",6530,4880,251,54703.430942623,45000,29100,69000,5.1
"HUMAN SERVICES AND COMMUNITY ORGANIZATION","Psychology & Social Work",3891,2827,182,37823.183940573,33000,20000,48000,6.4
"HUMANITIES","Humanities & Liberal Arts",1722,1023,65,43422.7956989247,35000,16900,55000,6.4
"INDUSTRIAL AND MANUFACTURING ENGINEERING","Engineering",1633,1188,60,68666.4781144781,60000,28075,90000,5.1
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY","Psychology & Social Work",546,377,33,57448.1697612732,45000,22000,80000,8.8
"INDUSTRIAL PRODUCTION TECHNOLOGIES","Engineering",367,265,24,58855.5094339623,50000,28600,80000,9.1
"INFORMATION SCIENCES","Computers & Mathematics",1381,1080,43,67007.0935185185,60000,35000,90000,4
"INTERCULTURAL AND INTERNATIONAL STUDIES","Humanities & Liberal Arts",2195,1649,103,42474.6027895694,33000,15000,55000,6.2
"INTERDISCIPLINARY SOCIAL SCIENCES","Social Science",2426,1635,85,41244.5382262997,35000,20000,52000,5.2
"INTERNATIONAL BUSINESS","Business",2631,2018,97,57591.1407333994,46000,27000,70000,4.8
"INTERNATIONAL RELATIONS","Social Science",2490,1803,93,56530.6544647809,41700,20000,70000,5.2
"JOURNALISM","Communications & Journalism",13249,9602,441,54658.7582795251,42000,24000,70000,4.6
"LANGUAGE AND DRAMA EDUCATION","Education",8428,4575,161,37827.3320218579,35000,17650,50000,3.5
"LIBERAL ARTS","Humanities & Liberal Arts",19037,11930,568,45355.3651299246,37000,20000,60000,4.8
"LIBRARY SCIENCE","Education",828,312,11,39225.641025641,33000,16925,50000,3.5
"LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE","Humanities & Liberal Arts",2903,1663,107,46409.0258568851,33500,15550,58000,6.4
"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS","Business",3334,2628,104,70013.5159817352,62000,37300,92000,4
"MARKETING AND MARKETING RESEARCH","Business",30492,23447,932,56301.9048065851,45000,25900,70000,4
"MASS MEDIA","Communications & Journalism",5702,4487,278,47837.9721417428,40000,20200,60000,6.2
"MATERIALS ENGINEERING AND MATERIALS SCIENCE","Engineering",304,219,5,62036.4840182648,52000,24500,86000,2.3
"MATERIALS SCIENCE","Engineering",136,104,2,58139.6153846154,60000,29875,76250,1.9
"MATHEMATICS AND COMPUTER SCIENCE","Computers & Mathematics",197,137,5,68641.9708029197,63000,30000,95000,3.6
"MATHEMATICS TEACHER EDUCATION","Education",2531,1563,37,37612.5809341011,36000,17550,49000,2.4
"MATHEMATICS","Computers & Mathematics",10838,6379,203,60189.4182473742,46300,24550,80000,3.2
"MECHANICAL ENGINEERING RELATED TECHNOLOGIES","Engineering",111,85,2,72121.1764705882,65000,30000,95000,2.4
"MECHANICAL ENGINEERING","Engineering",2667,1979,76,74141.6826680142,67000,38000,96000,3.8
"MEDICAL ASSISTING SERVICES","Health",3193,2362,61,47705.6270110076,45000,26550,60000,2.6
"MEDICAL TECHNOLOGIES TECHNICIANS","Health",7314,4950,129,54564.283030303,51000,32000,70000,2.6
"METALLURGICAL ENGINEERING","Engineering",70,46,1,66844.5652173913,65000,26850,1e+05,2.2
"MICROBIOLOGY","Biology & Life Science",2291,1430,64,55308.8461538462,45000,24925,72000,4.5
"MILITARY TECHNOLOGIES","Industrial Arts & Consumer Services",16,11,0,59545.4545454545,56000,35500,78500,0
"MINING AND MINERAL ENGINEERING","Engineering",45,35,2,76917.1428571429,60000,30000,103500,5.7
"MISCELLANEOUS AGRICULTURE","Agriculture & Natural Resources",302,244,3,40183.6475409836,38000,22000,50000,1.2
"MISCELLANEOUS BIOLOGY","Biology & Life Science",773,564,40,43450.524822695,38500,20000,60000,7.1
"MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION","Business",2886,1887,113,49801.0174880763,40000,22600,62000,6
"MISCELLANEOUS EDUCATION","Education",7539,3428,97,42391.2593348891,37000,18000,54000,2.8
"MISCELLANEOUS ENGINEERING TECHNOLOGIES","Engineering",713,524,22,57686.7748091603,50000,25975,78500,4.2
"MISCELLANEOUS ENGINEERING","Engineering",595,414,22,59719.9033816425,50000,25250,81500,5.3
"MISCELLANEOUS FINE ARTS","Arts",267,207,12,35503.6231884058,30600,18000,50000,5.8
"MISCELLANEOUS HEALTH MEDICAL PROFESSIONS","Health",3523,2297,103,42406.669569003,36000,20000,54000,4.5
"MISCELLANEOUS PSYCHOLOGY","Psychology & Social Work",1377,924,54,40761.9047619048,32200,17575,52250,5.8
"MISCELLANEOUS SOCIAL SCIENCES","Social Science",462,322,16,50289.2857142857,42250,24250,65000,5
"MOLECULAR BIOLOGY","Biology & Life Science",846,584,31,46693.0821917808,37500,20000,60000,5.3
"MULTI-DISCIPLINARY OR GENERAL SCIENCE","Physical Sciences",9030,5955,222,49889.0696893367,42000,24000,65000,3.7
"MULTI/INTERDISCIPLINARY STUDIES","Interdisciplinary",2114,1677,76,38822.8032200358,38400,23000,49000,4.5
"MUSIC","Arts",8243,4958,197,36607.2200484066,29000,12000,49000,4
"NATURAL RESOURCES MANAGEMENT","Agriculture & Natural Resources",1598,1260,36,42881.9928571429,36000,20000,56000,2.9
"NAVAL ARCHITECTURE AND MARINE ENGINEERING","Engineering",32,25,1,87848,68000,39000,115000,4
"NEUROSCIENCE","Biology & Life Science",534,361,22,32762.7146814404,25000,10500,42000,6.1
"NUCLEAR ENGINEERING","Engineering",63,40,1,72740,70500,39750,98500,2.5
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES","Physical Sciences",357,296,9,49835.9797297297,48000,32000,65000,3
"NURSING","Health",91906,64603,1342,59758.673714843,57000,38600,76000,2.1
"NUTRITION SCIENCES","Health",3267,2224,105,44260.7693345324,36000,18950,58000,4.7
"OCEANOGRAPHY","Physical Sciences",233,175,12,42464.1142857143,34000,18000,55500,6.9
"OPERATIONS LOGISTICS AND E-COMMERCE","Business",1048,822,28,63660.4282238443,54000,35000,80000,3.4
"OTHER FOREIGN LANGUAGES","Humanities & Liberal Arts",2042,1120,73,45989.7767857143,34000,15300,57250,6.5
"PETROLEUM ENGINEERING","Engineering",154,112,5,122783.482142857,98000,43000,156250,4.5
"PHARMACOLOGY","Biology & Life Science",166,112,4,65096.4285714286,50000,21125,1e+05,3.6
"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION","Health",4452,3034,103,83035.0042847726,87000,41000,120000,3.4
"PHILOSOPHY AND RELIGIOUS STUDIES","Humanities & Liberal Arts",3941,2360,133,42495.2669491525,32000,15000,52000,5.6
"PHYSICAL AND HEALTH EDUCATION TEACHING","Education",7459,4316,152,41849.6895273401,36000,19000,55000,3.5
"PHYSICAL FITNESS PARKS RECREATION AND LEISURE","Industrial Arts & Consumer Services",9834,7508,256,37910.1893979755,32000,16000,50000,3.4
"PHYSICAL SCIENCES","Physical Sciences",111,68,4,50111.7647058823,43100,24525,70000,5.9
"PHYSICS","Physical Sciences",1108,664,28,56002.6054216867,42095,22550,75000,4.2
"PHYSIOLOGY","Biology & Life Science",1553,1090,49,41101.7889908257,35000,14100,56000,4.5
"PLANT SCIENCE AND AGRONOMY","Agriculture & Natural Resources",1464,1017,38,38110.924287119,31000,16200,50000,3.7
"POLITICAL SCIENCE AND GOVERNMENT","Social Science",15640,10675,550,57538.167587822,42000,24000,70000,5.2
"PRE-LAW AND LEGAL STUDIES","Law & Public Policy",2318,1739,87,48826.8602645198,40000,25550,60000,5
"PSYCHOLOGY","Psychology & Social Work",56274,38698,2020,42126.9768463486,34000,18000,53000,5.2
"PUBLIC ADMINISTRATION","Law & Public Policy",1342,913,61,54098.3253012048,44000,25000,70000,6.7
"PUBLIC POLICY","Law & Public Policy",463,342,18,60303.3040935673,42000,24000,65750,5.3
"SCHOOL STUDENT COUNSELING","Education",92,64,5,36444.703125,30000,15000,50250,7.8
"SCIENCE AND COMPUTER TEACHER EDUCATION","Education",1902,1098,37,39500.9307832423,37000,22225,50000,3.4
"SECONDARY TEACHER EDUCATION","Education",7519,3465,124,39603.1171717172,36000,18000,50000,3.6
"SOCIAL PSYCHOLOGY","Psychology & Social Work",340,200,13,46700.3,39500,25750,57250,6.5
"SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION","Education",3513,1831,72,40341.8104860732,35000,18000,50000,3.9
"SOCIAL WORK","Psychology & Social Work",15065,10094,402,38519.518922132,34700,20000,50000,4
"SOCIOLOGY","Social Science",24586,15328,746,44512.3111299582,37000,20000,56050,4.9
"SOIL SCIENCE","Agriculture & Natural Resources",73,52,6,40398.0769230769,34150,19625,55750,11.5
"SPECIAL NEEDS EDUCATION","Education",7383,4969,146,39277.6741799155,38000,21700,50000,2.9
"STATISTICS AND DECISION SCIENCE","Computers & Mathematics",611,420,16,68284,55000,26875,90250,3.8
"STUDIO ARTS","Arts",3099,2230,119,35236.6923766816,27000,13500,46000,5.3
"TEACHER EDUCATION: MULTIPLE LEVELS","Education",4025,2467,49,35960.5739764897,35000,20000,46000,2
"THEOLOGY AND RELIGIOUS VOCATIONS","Humanities & Liberal Arts",4491,2518,115,30075.2347100874,24000,11000,39375,4.6
"TRANSPORTATION SCIENCES AND TECHNOLOGIES","Industrial Arts & Consumer Services",713,533,25,64492.5891181989,50000,27000,86000,4.7
"TREATMENT THERAPY PROFESSIONS","Health",10549,7867,182,53234.5329858904,50000,28000,72100,2.3
"UNITED STATES HISTORY","Humanities & Liberal Arts",373,172,7,52263.3720930233,40000,24625,63500,4.1
"VISUAL AND PERFORMING ARTS","Arts",2225,1694,86,36511.181227863,29000,14425,46000,5.1
"ZOOLOGY","Biology & Life Science",1616,1005,26,43278.1791044776,34900,20000,60000,2.6
