"Major","Major_Category","total_majors","employed","unemployed","mean_earnings","median_earnings","quantile(PERNP, 0.25)","quantile(PERNP, 0.75)","unemployment_rate"
"FINANCE","Business",27582,23188,841,107114.240253579,75000,45000,120000,3.6
"FINE ARTS","Arts",10874,8019,474,60927.0557426113,45000,25000,75000,5.9
"FOOD SCIENCE","Agriculture & Natural Resources",606,461,20,83391.1952277657,65000,38500,1e+05,4.3
"FORESTRY","Agriculture & Natural Resources",3729,2383,65,66043.4213176668,55000,35000,80000,2.7
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES","Humanities & Liberal Arts",2845,2013,109,67100.9716840537,47400,25000,80000,5.4
"GENERAL AGRICULTURE","Agriculture & Natural Resources",6032,4002,75,68738.0244877561,50000,30000,80000,1.9
"GENERAL BUSINESS","Business",67121,47957,1720,92220.6109431366,65000,38800,105000,3.6
"GENERAL EDUCATION","Education",16364,10241,338,59899.8338052925,47000,30000,70000,3.3
"GENERAL ENGINEERING","Engineering",19064,13092,472,90195.8540329972,75000,45000,110000,3.6
"GENERAL MEDICAL AND HEALTH SERVICES","Health",1545,1214,51,57628.1960461285,45700,25000,72000,4.2
"GENERAL SOCIAL SCIENCES","Social Science",3026,1858,100,67396.3401506997,50000,30000,84000,5.4
"GENETICS","Biology & Life Science",142,112,2,70597.3214285714,50000,28000,80750,1.8
"GEOGRAPHY","Social Science",4443,3346,142,66529.0008965929,53000,33100,82000,4.2
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING","Engineering",275,190,4,106308.473684211,85500,50250,135750,2.1
"GEOLOGY AND EARTH SCIENCE","Physical Sciences",4656,3172,158,83288.7865699874,64000,35000,1e+05,5
"GEOSCIENCES","Physical Sciences",295,222,13,79702.7072072072,64500,36200,90000,5.9
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES","Health",1471,1153,56,76617.0858629662,60000,39000,95000,4.9
"HEALTH AND MEDICAL PREPARATORY PROGRAMS","Health",711,378,24,71550.1349206349,48000,22000,90000,6.3
"HISTORY","Humanities & Liberal Arts",23810,16241,826,73581.0427929315,50000,28000,85000,5.1
"HOSPITALITY MANAGEMENT","Business",4463,3770,142,70980.8965517241,50000,31000,82750,3.8
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT","Business",3518,2522,105,78865.6708961142,60000,37000,96000,4.2
"HUMAN SERVICES AND COMMUNITY ORGANIZATION","Psychology & Social Work",866,630,38,56534,42000,27000,66500,6
"HUMANITIES","Humanities & Liberal Arts",850,604,38,62863.9569536424,45000,24000,75000,6.3
"INDUSTRIAL AND MANUFACTURING ENGINEERING","Engineering",6100,4322,140,97045.2679315132,79000,50000,112000,3.2
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY","Psychology & Social Work",377,260,11,88188.2692307692,65000,32000,110000,4.2
"INDUSTRIAL PRODUCTION TECHNOLOGIES","Engineering",4228,3141,114,81030.1025151226,70000,45000,1e+05,3.6
"INFORMATION SCIENCES","Computers & Mathematics",3051,2727,108,84532.6960029336,75000,49000,105000,4
"INTERCULTURAL AND INTERNATIONAL STUDIES","Humanities & Liberal Arts",1054,847,54,64895.7851239669,45000,25000,75000,6.4
"INTERDISCIPLINARY SOCIAL SCIENCES","Social Science",1011,698,40,69452.1776504298,50000,30000,85000,5.7
"INTERNATIONAL BUSINESS","Business",2084,1740,76,80513.9597701149,60000,35000,95250,4.4
"INTERNATIONAL RELATIONS","Social Science",1870,1370,75,88062.9423357664,60000,30525,101000,5.5
"JOURNALISM","Communications & Journalism",9153,6980,351,76051.8961318052,55000,33000,90000,5
"LANGUAGE AND DRAMA EDUCATION","Education",1637,1103,48,50930.3263825929,42000,27000,60000,4.4
"LIBERAL ARTS","Humanities & Liberal Arts",12222,8583,435,69865.0495164861,50000,30000,85000,5.1
"LIBRARY SCIENCE","Education",61,38,1,34726.3157894737,29000,19975,48750,2.6
"LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE","Humanities & Liberal Arts",977,703,52,64632.1550497866,45000,25000,80000,7.4
"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS","Business",5835,5248,139,91970.1920731707,80000,51950,110000,2.6
"MARKETING AND MARKETING RESEARCH","Business",26838,21496,859,92146.6618905843,65000,40000,107625,4
"MASS MEDIA","Communications & Journalism",6401,5365,315,62785.6191985089,47900,27600,76500,5.9
"MATERIALS ENGINEERING AND MATERIALS SCIENCE","Engineering",1021,692,23,85391.950867052,76000,44900,105000,3.3
"MATERIALS SCIENCE","Engineering",326,266,9,78026.9172932331,64400,30000,1e+05,3.4
"MATHEMATICS AND COMPUTER SCIENCE","Computers & Mathematics",327,278,9,106120.287769784,95500,60000,125000,3.2
"MATHEMATICS TEACHER EDUCATION","Education",1447,982,22,50816.9755600815,45000,29325,62000,2.2
"MATHEMATICS","Computers & Mathematics",13581,8672,361,88882.4339252768,68000,35000,110000,4.2
"MECHANICAL ENGINEERING RELATED TECHNOLOGIES","Engineering",1630,1346,42,76099.5690936107,65000,41425,92000,3.1
"MECHANICAL ENGINEERING","Engineering",29989,21367,688,95418.9956942949,81000,54000,116500,3.2
"MEDICAL ASSISTING SERVICES","Health",307,235,8,80366.3829787234,62000,35000,1e+05,3.4
"MEDICAL TECHNOLOGIES TECHNICIANS","Health",1986,1546,49,73215.1946959896,63000,45000,88000,3.2
"METALLURGICAL ENGINEERING","Engineering",634,335,9,113919.910447761,92000,50000,136500,2.7
"MICROBIOLOGY","Biology & Life Science",1372,984,42,76003.5569105691,60000,31450,1e+05,4.3
"MILITARY TECHNOLOGIES","Industrial Arts & Consumer Services",206,81,6,89598.7654320988,65000,35000,1e+05,7.4
"MINING AND MINERAL ENGINEERING","Engineering",618,402,13,107762.067164179,93000,55000,132450,3.2
"MISCELLANEOUS AGRICULTURE","Agriculture & Natural Resources",389,268,8,70611.7910447761,51000,32225,80000,3
"MISCELLANEOUS BIOLOGY","Biology & Life Science",1117,858,21,57798.1177156177,49450,30000,72000,2.4
"MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION","Business",2916,2386,102,86274.9258172674,61000,37000,1e+05,4.3
"MISCELLANEOUS EDUCATION","Education",5841,3250,104,63631.5415384615,51000,30000,79000,3.2
"MISCELLANEOUS ENGINEERING TECHNOLOGIES","Engineering",3042,2537,114,78842.5467087111,68000,44000,1e+05,4.5
"MISCELLANEOUS ENGINEERING","Engineering",2908,2270,83,89202.3660792952,74000,45000,105000,3.7
"MISCELLANEOUS FINE ARTS","Arts",333,263,29,44930.0380228137,36000,18750,61500,11
"MISCELLANEOUS HEALTH MEDICAL PROFESSIONS","Health",548,368,19,52980.7065217391,43000,25000,63000,5.2
"MISCELLANEOUS PSYCHOLOGY","Psychology & Social Work",470,317,22,64310.2839116719,50000,27000,80000,6.9
"MISCELLANEOUS SOCIAL SCIENCES","Social Science",442,337,14,76692.4332344214,55000,30000,95000,4.2
"MOLECULAR BIOLOGY","Biology & Life Science",675,515,22,67230.4116504854,45000,24000,83000,4.3
"MULTI-DISCIPLINARY OR GENERAL SCIENCE","Physical Sciences",8853,6187,255,76434.5501858736,60000,35000,94000,4.1
"MULTI/INTERDISCIPLINARY STUDIES","Interdisciplinary",885,700,47,54587.1442857143,44250,25000,70000,6.7
"MUSIC","Arts",6904,5476,230,52993.2817750183,39000,20000,65000,4.2
"NATURAL RESOURCES MANAGEMENT","Agriculture & Natural Resources",3510,2779,91,63581.3389708528,50000,32000,75000,3.3
"NAVAL ARCHITECTURE AND MARINE ENGINEERING","Engineering",884,541,18,103651.275415896,96000,55000,126000,3.3
"NEUROSCIENCE","Biology & Life Science",407,270,25,48070.7777777778,30000,15000,54750,9.3
"NUCLEAR ENGINEERING","Engineering",472,352,18,111188.153409091,1e+05,55875,140000,5.1
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES","Physical Sciences",245,197,6,79061.421319797,63000,38000,1e+05,3
"NURSING","Health",7666,6389,169,71846.2030051651,65000,45000,90000,2.6
"NUTRITION SCIENCES","Health",430,337,23,54879.5252225519,39500,20000,65000,6.8
"OCEANOGRAPHY","Physical Sciences",353,242,10,77327.6859504132,62000,33150,98750,4.1
"OPERATIONS LOGISTICS AND E-COMMERCE","Business",2386,2038,58,78826.0215897939,65000,44150,95000,2.8
"OTHER FOREIGN LANGUAGES","Humanities & Liberal Arts",1172,787,42,67589.415501906,47000,24000,80000,5.3
"PETROLEUM ENGINEERING","Engineering",1021,679,28,173321.251840943,120000,65000,250000,4.1
"PHARMACOLOGY","Biology & Life Science",103,70,4,91648.5714285714,73500,31925,121500,5.7
"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION","Health",5076,3080,73,109092.052597403,110000,60000,130000,2.4
"PHILOSOPHY AND RELIGIOUS STUDIES","Humanities & Liberal Arts",7238,4982,271,61991.5469690887,42000,23000,72000,5.4
"PHYSICAL AND HEALTH EDUCATION TEACHING","Education",7760,5372,173,58211.0632911392,47050,29000,70000,3.2
"PHYSICAL FITNESS PARKS RECREATION AND LEISURE","Industrial Arts & Consumer Services",10926,9225,373,53767.2551761518,42000,25000,65000,4
"PHYSICAL SCIENCES","Physical Sciences",349,240,7,89610.8333333333,65500,31750,110000,2.9
"PHYSICS","Physical Sciences",5341,3432,143,84633.1139277389,65000,29375,110000,4.2
"PHYSIOLOGY","Biology & Life Science",1079,810,50,70670.6172839506,48000,22050,85000,6.2
"PLANT SCIENCE AND AGRONOMY","Agriculture & Natural Resources",3644,2819,69,69495.4558354026,53900,34000,83700,2.4
"POLITICAL SCIENCE AND GOVERNMENT","Social Science",23651,17083,955,85951.4551308318,60000,32000,1e+05,5.6
"PRE-LAW AND LEGAL STUDIES","Law & Public Policy",968,695,38,76256.2316546763,50000,29000,90000,5.5
"PSYCHOLOGY","Psychology & Social Work",24094,17064,976,66457.2678152836,48000,26800,80000,5.7
"PUBLIC ADMINISTRATION","Law & Public Policy",1644,1104,56,78698.4610507246,63000,37450,1e+05,5.1
"PUBLIC POLICY","Law & Public Policy",422,337,26,83964.1839762611,60000,35000,97000,7.7
"SCHOOL STUDENT COUNSELING","Education",44,34,0,49775.5882352941,27000,7000,71500,0
"SCIENCE AND COMPUTER TEACHER EDUCATION","Education",1478,897,28,55723.7837235229,46000,30000,68000,3.1
"SECONDARY TEACHER EDUCATION","Education",5499,3128,104,54389.1678388747,45000,29100,65000,3.3
"SOCIAL PSYCHOLOGY","Psychology & Social Work",210,113,5,66727.7876106195,58000,32300,80000,4.4
"SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION","Education",3581,2275,77,50625.6136263736,42000,25000,60000,3.4
"SOCIAL WORK","Psychology & Social Work",2350,1544,89,51829.5893782383,40000,26225,60000,5.8
"SOCIOLOGY","Social Science",11892,8208,398,68139.4255604288,50000,30000,81000,4.8
"SOIL SCIENCE","Agriculture & Natural Resources",297,208,9,67271.7307692308,60000,39050,85000,4.3
"SPECIAL NEEDS EDUCATION","Education",949,674,19,52159.0949554896,45000,30000,62000,2.8
"STATISTICS AND DECISION SCIENCE","Computers & Mathematics",688,529,22,92543.7618147448,70000,35000,110000,4.2
"STUDIO ARTS","Arts",1467,1146,62,50298.517452007,39000,20000,61315,5.4
"TEACHER EDUCATION: MULTIPLE LEVELS","Education",1021,681,20,50077.637298091,41800,27400,59000,2.9
"THEOLOGY AND RELIGIOUS VOCATIONS","Humanities & Liberal Arts",8877,6513,190,46291.9454936281,38000,23000,56000,2.9
"TRANSPORTATION SCIENCES AND TECHNOLOGIES","Industrial Arts & Consumer Services",6100,4752,137,91019.1127946128,72000,41000,115000,2.9
"TREATMENT THERAPY PROFESSIONS","Health",2938,2506,62,71124.3260175579,63000,35000,90000,2.5
"UNITED STATES HISTORY","Humanities & Liberal Arts",554,339,20,78510.6489675516,51000,26000,90000,5.9
"VISUAL AND PERFORMING ARTS","Arts",704,570,51,56536.6842105263,40000,23625,70000,8.9
"ZOOLOGY","Biology & Life Science",1594,1008,49,72985.1795634921,54000,30000,92000,4.9
