"Major","Major_Category","total_majors","employed","unemployed","mean_earnings","median_earnings","quantile(PERNP, 0.25)","quantile(PERNP, 0.75)","unemployment_rate"
"BUSINESS MANAGEMENT AND ADMINISTRATION","Business",12818,10821,622,36720.6606598281,34000,20000,48000,5.7
"CHEMICAL ENGINEERING","Engineering",1443,1190,69,53810.487394958,57000,25000,75000,5.8
"CHEMISTRY","Physical Sciences",2448,1778,97,28179.3453318335,25000,12000,40000,5.5
"CIVIL ENGINEERING","Engineering",2166,1792,84,44348.7276785714,48000,23000,60000,4.7
"CLINICAL PSYCHOLOGY","Psychology & Social Work",93,71,8,25992.3943661972,23000,12500,32000,11.3
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY","Biology & Life Science",187,137,8,26222.2627737226,21000,9000,40000,5.8
"COMMERCIAL ART AND GRAPHIC DESIGN","Arts",4654,3919,288,30961.4279152845,29800,14050,41000,7.3
"COMMUNICATION DISORDERS SCIENCES AND SERVICES","Health",1132,800,40,19358.7925,15000,6200,29700,5
"COMMUNICATION TECHNOLOGIES","Computers & Mathematics",892,757,65,29545.6961690885,26000,13900,40000,8.6
"COMMUNICATIONS","Communications & Journalism",8611,7390,505,31236.8730717185,30000,15000,41900,6.8
"COMMUNITY AND PUBLIC HEALTH","Health",1160,905,54,26206.5966850829,22000,10000,37500,6
"COMPOSITION AND RHETORIC","Humanities & Liberal Arts",879,712,70,23156.797752809,20000,10000,32125,9.8
"COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY","Computers & Mathematics",428,358,25,39611.592178771,35150,20000,51000,7
"COMPUTER AND INFORMATION SYSTEMS","Computers & Mathematics",1752,1390,118,40841.3956834532,39650,18325,58000,8.5
"COMPUTER ENGINEERING","Engineering",1749,1332,81,53190.8490990991,54000,22775,74000,6.1
"COMPUTER NETWORKING AND TELECOMMUNICATIONS","Computers & Mathematics",346,297,20,35683.569023569,30000,15000,48000,6.7
"COMPUTER PROGRAMMING AND DATA PROCESSING","Computers & Mathematics",197,158,19,39434.8101265823,36000,18000,52750,12
"COMPUTER SCIENCE","Computers & Mathematics",5086,3986,249,51098.9716507777,47900,22002.5,70000,6.2
"CONSTRUCTION SERVICES","Industrial Arts & Consumer Services",766,712,22,48129.6348314607,50000,30000,61000,3.1
"COSMETOLOGY SERVICES AND CULINARY ARTS","Industrial Arts & Consumer Services",457,387,20,25542.6098191214,24000,13000,35000,5.2
"COUNSELING PSYCHOLOGY","Psychology & Social Work",130,107,2,22881.308411215,20000,10700,30500,1.9
"COURT REPORTING","Law & Public Policy",34,28,1,23464.2857142857,22000,10000,32750,3.6
"CRIMINAL JUSTICE AND FIRE PROTECTION","Law & Public Policy",7171,5925,446,30087.7562869198,28000,15000,40000,7.5
"CRIMINOLOGY","Social Science",864,684,64,28513.8304093567,25900,12000,39000,9.4
"DRAMA AND THEATER ARTS","Arts",1960,1631,148,24050.2844880441,20000,10000,30000,9.1
"EARLY CHILDHOOD EDUCATION","Education",1555,1349,65,25949.4292068199,26000,14400,35000,4.8
"ECOLOGY","Biology & Life Science",548,443,33,22925.3724604966,20000,10000,30000,7.4
"ECONOMICS","Social Science",5436,4171,327,45215.5358427236,40000,19000,60000,7.8
"EDUCATIONAL ADMINISTRATION AND SUPERVISION","Education",24,24,0,21966.6666666667,17500,5000,32500,0
"EDUCATIONAL PSYCHOLOGY","Psychology & Social Work",48,39,0,25233.3333333333,24500,12500,36000,0
"ELECTRICAL ENGINEERING TECHNOLOGY","Engineering",376,246,17,43658.0894308943,40000,14000,62000,6.9
"ELECTRICAL ENGINEERING","Engineering",2982,2199,142,47615.0886766712,49000,20000,69000,6.5
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION","Industrial Arts & Consumer Services",99,85,5,40330,30000,19500,49000,5.9
"ELEMENTARY EDUCATION","Education",6564,5727,219,27204.8699144404,30000,15000,37000,3.8
"ENGINEERING AND INDUSTRIAL MANAGEMENT","Engineering",95,76,1,37880.2631578947,30500,13750,55000,1.3
"ENGINEERING MECHANICS PHYSICS AND SCIENCE","Engineering",146,121,5,44380.1652892562,35000,16500,64000,4.1
"ENGINEERING TECHNOLOGIES","Engineering",217,182,11,40564.010989011,36000,20000,52750,6
"ENGLISH LANGUAGE AND LITERATURE","Humanities & Liberal Arts",7400,5825,471,26699.5617167382,23000,11000,37500,8.1
"ENVIRONMENTAL ENGINEERING","Engineering",212,172,8,34593.023255814,30000,14850,53000,4.7
"ENVIRONMENTAL SCIENCE","Biology & Life Science",1605,1292,120,26746.6021671827,23000,11225,37775,9.3
"FAMILY AND CONSUMER SCIENCES","Industrial Arts & Consumer Services",2599,2100,105,24532.7619047619,23000,12000,33525,5
"FILM VIDEO AND PHOTOGRAPHIC ARTS","Arts",1860,1535,170,27303.335504886,23700,11600,36000,11.1
"FINANCE","Business",6555,5500,306,46453.5767272727,41000,25000,60000,5.6
"FINE ARTS","Arts",3020,2416,219,25600.6216887417,21000,10775,35000,9.1
"FOOD SCIENCE","Agriculture & Natural Resources",213,171,13,35057.1929824561,35000,15300,50000,7.6
"FORESTRY","Agriculture & Natural Resources",186,169,8,32017.2189349112,31000,20000,40000,4.7
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES","Humanities & Liberal Arts",1591,1278,85,25417.3161189358,21500,10650,37075,6.7
"GENERAL AGRICULTURE","Agriculture & Natural Resources",530,453,11,33898.5231788079,30000,15000,45000,2.4
"GENERAL BUSINESS","Business",8671,7062,455,37570.5532427075,34000,19000,50000,6.4
"GENERAL EDUCATION","Education",4430,3687,175,28693.8462164361,30000,15000,40000,4.7
"GENERAL ENGINEERING","Engineering",1992,1448,92,45693.0662983425,45000,20000,65000,6.4
"GENERAL MEDICAL AND HEALTH SERVICES","Health",1637,1191,81,23477.8001679261,19400,8950,34000,6.8
"GENERAL SOCIAL SCIENCES","Social Science",476,357,36,28718.487394958,26000,14000,37000,10.1
"GENETICS","Biology & Life Science",112,76,2,26802.6315789474,26500,13750,33550,2.6
"GEOGRAPHY","Social Science",719,580,41,29417.0344827586,27800,12775,40000,7.1
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING","Engineering",25,23,1,48550.4347826087,50000,29200,60500,4.3
"GEOLOGY AND EARTH SCIENCE","Physical Sciences",647,521,44,29973.339731286,25000,12000,40000,8.4
"GEOSCIENCES","Physical Sciences",81,72,0,29872.2222222222,24000,12000,50250,0
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES","Health",966,818,55,29992.3594132029,28000,15000,40000,6.7
"HEALTH AND MEDICAL PREPARATORY PROGRAMS","Health",440,223,21,25691.7533632287,20000,8500,35000,9.4
"HISTORY","Humanities & Liberal Arts",5411,4126,340,28209.7426078526,24000,11600,38000,8.2
"HOSPITALITY MANAGEMENT","Business",2062,1798,81,30385.7013348165,29000,15000,40000,4.5
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT","Business",915,783,38,34417.4840357599,32000,18200,45000,4.9
"HUMAN SERVICES AND COMMUNITY ORGANIZATION","Psychology & Social Work",478,398,27,25198.7688442211,24000,12000,32000,6.8
"HUMANITIES","Humanities & Liberal Arts",266,191,18,22371.0994764398,20000,10000,32000,9.4
"INDUSTRIAL AND MANUFACTURING ENGINEERING","Engineering",730,615,29,51825.9024390244,54000,30000,68000,4.7
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY","Psychology & Social Work",104,84,9,33807.1428571429,27000,9375,40000,10.7
"INDUSTRIAL PRODUCTION TECHNOLOGIES","Engineering",172,154,7,38931.1688311688,39000,20675,53500,4.5
"INFORMATION SCIENCES","Computers & Mathematics",564,474,27,42346.9852320675,40000,21150,60000,5.7
"INTERCULTURAL AND INTERNATIONAL STUDIES","Humanities & Liberal Arts",1191,928,73,27446.7995689655,23825,10000,37000,7.9
"INTERDISCIPLINARY SOCIAL SCIENCES","Social Science",444,342,30,30027.8070175439,24200,10700,35000,8.8
"INTERNATIONAL BUSINESS","Business",997,781,58,37796.9526248399,35000,18000,50000,7.4
"INTERNATIONAL RELATIONS","Social Science",1184,881,72,32760.2167990919,30000,12000,46900,8.2
"JOURNALISM","Communications & Journalism",2868,2481,168,30887.843611447,30000,15000,40000,6.8
"LANGUAGE AND DRAMA EDUCATION","Education",1132,970,31,27463.7835051546,30000,14000,38000,3.2
"LIBERAL ARTS","Humanities & Liberal Arts",2869,2197,171,27071.9804278562,25000,12000,37000,7.8
"LIBRARY SCIENCE","Education",32,22,3,20672.7272727273,17850,10500,29000,13.6
"LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE","Humanities & Liberal Arts",646,466,39,25063.7982832618,20000,10000,35950,8.4
"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS","Business",802,689,42,44492.3962264151,42000,24000,60000,6.1
"MARKETING AND MARKETING RESEARCH","Business",8022,7051,396,36654.0907672671,35000,20000,49000,5.6
"MASS MEDIA","Communications & Journalism",2456,2049,192,29340.3074670571,25900,14000,40000,9.4
"MATERIALS ENGINEERING AND MATERIALS SCIENCE","Engineering",178,136,7,44380.1470588235,45000,17250,63250,5.1
"MATERIALS SCIENCE","Engineering",173,140,3,40106.1428571429,35000,20000,60000,2.1
"MATHEMATICS AND COMPUTER SCIENCE","Computers & Mathematics",33,28,1,61842.8571428571,46250,22400,90500,3.6
"MATHEMATICS TEACHER EDUCATION","Education",594,536,12,28745.0373134328,32000,15000,40000,2.2
"MATHEMATICS","Computers & Mathematics",2817,2222,139,36075.1444644464,30000,15000,48750,6.3
"MECHANICAL ENGINEERING RELATED TECHNOLOGIES","Engineering",214,193,9,41373.6787564767,45600,20000,60000,4.7
"MECHANICAL ENGINEERING","Engineering",4120,3465,164,48913.5873015873,52000,25000,67000,4.7
"MEDICAL ASSISTING SERVICES","Health",416,351,17,36012.1367521368,34700,15000,50000,4.8
"MEDICAL TECHNOLOGIES TECHNICIANS","Health",744,629,25,36552.0826709062,39000,20000,50000,4
"METALLURGICAL ENGINEERING","Engineering",14,10,1,39380,18600,10500,30150,10
"MICROBIOLOGY","Biology & Life Science",519,323,21,25985.9752321981,25000,10000,35150,6.5
"MILITARY TECHNOLOGIES","Industrial Arts & Consumer Services",10,6,0,24883.3333333333,22500,18500,34225,0
"MINING AND MINERAL ENGINEERING","Engineering",36,32,1,56715.625,59000,28250,80750,3.1
"MISCELLANEOUS AGRICULTURE","Agriculture & Natural Resources",105,100,1,30470,31100,16750,41250,1
"MISCELLANEOUS BIOLOGY","Biology & Life Science",475,348,23,28424.724137931,24000,11600,38100,6.6
"MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION","Business",800,649,60,37508.7519260401,34000,18000,50000,9.2
"MISCELLANEOUS EDUCATION","Education",419,371,13,33054.8787061995,34000,18500,42000,3.5
"MISCELLANEOUS ENGINEERING TECHNOLOGIES","Engineering",433,365,22,41194.3835616438,37000,20000,55000,6
"MISCELLANEOUS ENGINEERING","Engineering",463,377,21,45217.5066312997,45000,21000,60000,5.6
"MISCELLANEOUS FINE ARTS","Arts",212,165,23,28083.3333333333,23000,10000,41000,13.9
"MISCELLANEOUS HEALTH MEDICAL PROFESSIONS","Health",530,394,24,26346.192893401,24500,10000,36000,6.1
"MISCELLANEOUS PSYCHOLOGY","Psychology & Social Work",383,301,15,23543.7873754153,20000,10000,33000,5
"MISCELLANEOUS SOCIAL SCIENCES","Social Science",152,125,5,29357.6,27800,10000,42000,4
"MOLECULAR BIOLOGY","Biology & Life Science",641,412,30,25892.2354368932,22500,10725,38000,7.3
"MULTI-DISCIPLINARY OR GENERAL SCIENCE","Physical Sciences",2041,1468,98,30674.9795640327,27000,12000,42325,6.7
"MULTI/INTERDISCIPLINARY STUDIES","Interdisciplinary",612,504,31,29096.9642857143,28000,13900,40000,6.2
"MUSIC","Arts",2564,2044,134,22919.9711350294,19850,9000,32000,6.6
"NATURAL RESOURCES MANAGEMENT","Agriculture & Natural Resources",743,643,32,26641.1041990669,24000,12000,37750,5
"NAVAL ARCHITECTURE AND MARINE ENGINEERING","Engineering",75,40,6,61627.5,52000,29000,90000,15
"NEUROSCIENCE","Biology & Life Science",691,439,34,25196.2642369021,21000,9000,35000,7.7
"NUCLEAR ENGINEERING","Engineering",90,60,5,57316.6666666667,48800,25875,67750,8.3
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES","Physical Sciences",86,65,5,39624.6153846154,37000,23000,53000,7.7
"NURSING","Health",10518,9265,307,41830.3764705882,43800,24600,55000,3.3
"NUTRITION SCIENCES","Health",821,609,47,26173.8587848933,21100,9200,36000,7.7
"OCEANOGRAPHY","Physical Sciences",115,81,9,24200,22300,10000,31500,11.1
"OPERATIONS LOGISTICS AND E-COMMERCE","Business",678,593,18,46185.3305227656,48000,28000,60000,3
"OTHER FOREIGN LANGUAGES","Humanities & Liberal Arts",454,315,29,25571.2380952381,20000,8000,35000,9.2
"PETROLEUM ENGINEERING","Engineering",153,133,6,70146.992481203,68000,25000,105000,4.5
"PHARMACOLOGY","Biology & Life Science",51,28,4,25885.7142857143,22000,15725,35025,14.3
"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION","Health",474,304,17,23338.5526315789,15000,7000,34250,5.6
"PHILOSOPHY AND RELIGIOUS STUDIES","Humanities & Liberal Arts",2009,1463,113,26342.0929596719,21000,10000,36000,7.7
"PHYSICAL AND HEALTH EDUCATION TEACHING","Education",1063,898,48,26918.5523385301,25000,13000,37000,5.3
"PHYSICAL FITNESS PARKS RECREATION AND LEISURE","Industrial Arts & Consumer Services",5909,4678,276,24784.1175716118,20000,10000,35000,5.9
"PHYSICAL SCIENCES","Physical Sciences",42,30,2,22616.6666666667,20400,9825,31500,6.7
"PHYSICS","Physical Sciences",1093,842,42,32465.296912114,25000,12025,41125,5
"PHYSIOLOGY","Biology & Life Science",987,632,48,25043.5443037975,18350,7975,35000,7.6
"PLANT SCIENCE AND AGRONOMY","Agriculture & Natural Resources",410,369,13,31551.9241192412,28000,16000,41000,3.5
"POLITICAL SCIENCE AND GOVERNMENT","Social Science",6664,4974,409,32314.4813027744,30000,12000,45000,8.2
"PRE-LAW AND LEGAL STUDIES","Law & Public Policy",450,339,22,31280.6489675516,26000,15000,40000,6.5
"PSYCHOLOGY","Psychology & Social Work",15362,12045,888,24681.1415525114,21600,10000,34000,7.4
"PUBLIC ADMINISTRATION","Law & Public Policy",188,150,16,29791.3333333333,28000,16025,40000,10.7
"PUBLIC POLICY","Law & Public Policy",253,197,15,34869.2893401015,30000,14000,45000,7.6
"SCHOOL STUDENT COUNSELING","Education",8,8,0,17362.5,13500,4375,23750,0
"SCIENCE AND COMPUTER TEACHER EDUCATION","Education",274,224,12,29191.2053571429,31350,16300,38125,5.4
"SECONDARY TEACHER EDUCATION","Education",674,593,26,28490.6408094435,30000,16000,38000,4.4
"SOCIAL PSYCHOLOGY","Psychology & Social Work",36,27,1,28777.7777777778,30000,19000,40600,3.7
"SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION","Education",763,674,22,27876.4391691395,27700,15000,38000,3.3
"SOCIAL WORK","Psychology & Social Work",1927,1556,96,23457.7506426735,23000,11000,32000,6.2
"SOCIOLOGY","Social Science",4347,3527,255,27771.8502977034,25000,12000,37500,7.2
"SOIL SCIENCE","Agriculture & Natural Resources",29,26,1,34934.6153846154,34650,20125,48000,3.8
"SPECIAL NEEDS EDUCATION","Education",1072,949,30,29417.8819810327,32000,17000,39000,3.2
"STATISTICS AND DECISION SCIENCE","Computers & Mathematics",252,178,14,42043.2584269663,35000,15775,57750,7.9
"STUDIO ARTS","Arts",823,695,42,22702.7050359712,20000,10000,30000,6
"TEACHER EDUCATION: MULTIPLE LEVELS","Education",605,537,11,27700.7262569832,30000,16000,36500,2
"THEOLOGY AND RELIGIOUS VOCATIONS","Humanities & Liberal Arts",1362,1123,55,23378.6821015138,20000,10050,32000,4.9
"TRANSPORTATION SCIENCES AND TECHNOLOGIES","Industrial Arts & Consumer Services",669,540,21,38282.2222222222,31000,18375,50000,3.9
"TREATMENT THERAPY PROFESSIONS","Health",1468,1150,62,25943.7565217391,22000,10000,36000,5.4
"UNITED STATES HISTORY","Humanities & Liberal Arts",73,57,3,28143.8596491228,25000,10000,40000,5.3
"VISUAL AND PERFORMING ARTS","Arts",698,593,44,23264.3507588533,20000,10000,31000,7.4
"ZOOLOGY","Biology & Life Science",318,239,12,23410.6276150628,18500,10000,30000,5
