"Major","Major_Category","total_majors","employed","unemployed","mean_earnings","median_earnings","quantile(PERNP, 0.25)","quantile(PERNP, 0.75)","unemployment_rate"
"INDUSTRIAL AND MANUFACTURING ENGINEERING","Engineering",4991,3763,131,124661.975817167,1e+05,62000,145000,3.5
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY","Psychology & Social Work",800,517,34,92005.0309477756,65000,36000,114000,6.6
"INDUSTRIAL PRODUCTION TECHNOLOGIES","Engineering",1223,829,38,96730.0615199035,83000,50000,120000,4.6
"INFORMATION SCIENCES","Computers & Mathematics",1640,1395,51,97240.8745519713,87000,54500,120000,3.7
"INTERCULTURAL AND INTERNATIONAL STUDIES","Humanities & Liberal Arts",2171,1805,80,84917.2947368421,60000,35000,95000,4.4
"INTERDISCIPLINARY SOCIAL SCIENCES","Social Science",2053,1532,68,76639.7023498694,59000,35000,90000,4.4
"INTERNATIONAL BUSINESS","Business",1949,1589,63,95022.86406545,75000,42000,115000,4
"INTERNATIONAL RELATIONS","Social Science",4429,3462,126,109395.834199884,79000,46775,128000,3.6
"JOURNALISM","Communications & Journalism",7374,5528,195,85207.0153762663,62000,40000,1e+05,3.5
"LANGUAGE AND DRAMA EDUCATION","Education",11808,6730,162,56717.7372956909,52000,33000,71000,2.4
"LIBERAL ARTS","Humanities & Liberal Arts",12959,8964,304,82520.0812137439,62000,38000,95000,3.4
"LIBRARY SCIENCE","Education",1761,805,17,56280.7341614907,50000,30000,70000,2.1
"LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE","Humanities & Liberal Arts",3301,2211,105,73107.2596110357,58000,31000,90000,4.7
"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS","Business",2696,2321,70,104058.415338216,89000,57000,123000,3
"MARKETING AND MARKETING RESEARCH","Business",11545,9119,352,96621.0819168769,70000,42300,112000,3.9
"MASS MEDIA","Communications & Journalism",2888,2351,109,70939.6133560187,57000,36000,87015,4.6
"MATERIALS ENGINEERING AND MATERIALS SCIENCE","Engineering",1065,809,20,105538.150803461,90000,52000,125000,2.5
"MATERIALS SCIENCE","Engineering",866,725,28,114494.675862069,1e+05,60000,140000,3.9
"MATHEMATICS AND COMPUTER SCIENCE","Computers & Mathematics",361,296,9,119072.567567568,104000,56750,142000,3
"MATHEMATICS TEACHER EDUCATION","Education",4983,2973,47,61494.984863774,55000,40000,75000,1.6
"MATHEMATICS","Computers & Mathematics",25514,16399,454,103125.146716263,78000,45000,121150,2.8
"MECHANICAL ENGINEERING RELATED TECHNOLOGIES","Engineering",389,304,7,96937.2039473684,85000,50750,116250,2.3
"MECHANICAL ENGINEERING","Engineering",20637,15439,409,124463.904980893,1e+05,70000,148000,2.6
"MEDICAL ASSISTING SERVICES","Health",1167,921,26,86879.1748099891,70000,40000,105000,2.8
"MEDICAL TECHNOLOGIES TECHNICIANS","Health",2690,2040,50,101215.852941176,75000,50000,110000,2.5
"METALLURGICAL ENGINEERING","Engineering",754,475,16,125790.8,108000,67500,150000,3.4
"MICROBIOLOGY","Biology & Life Science",4568,3508,92,130769.381698974,90000,50000,150000,2.6
"MILITARY TECHNOLOGIES","Industrial Arts & Consumer Services",211,79,3,109050.632911392,92000,45000,127000,3.8
"MINING AND MINERAL ENGINEERING","Engineering",356,237,14,136359.324894515,106000,70000,160000,5.9
"MISCELLANEOUS AGRICULTURE","Agriculture & Natural Resources",418,276,6,67059.0615942029,59500,36000,85000,2.2
"MISCELLANEOUS BIOLOGY","Biology & Life Science",1903,1484,40,85418.5613207547,60000,38000,1e+05,2.7
"MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION","Business",1369,1061,46,99313.1866163996,72000,43000,120000,4.3
"MISCELLANEOUS EDUCATION","Education",10611,5085,146,62216.0003933137,55000,34500,76000,2.9
"MISCELLANEOUS ENGINEERING TECHNOLOGIES","Engineering",856,683,28,98175.9004392387,85000,53500,116500,4.1
"MISCELLANEOUS ENGINEERING","Engineering",1713,1268,41,109753.846214511,90000,50000,130200,3.2
"MISCELLANEOUS FINE ARTS","Arts",115,80,3,64956.25,50000,24750,71500,3.8
"MISCELLANEOUS HEALTH MEDICAL PROFESSIONS","Health",3122,2255,77,69648.6137472284,52000,30000,80000,3.4
"MISCELLANEOUS PSYCHOLOGY","Psychology & Social Work",1879,1421,37,97569.3525686137,66000,39000,108000,2.6
"MISCELLANEOUS SOCIAL SCIENCES","Social Science",881,677,19,98840.9025110783,72000,45000,110000,2.8
"MOLECULAR BIOLOGY","Biology & Life Science",2446,2125,60,132535.333176471,85000,50000,160000,2.8
"MULTI-DISCIPLINARY OR GENERAL SCIENCE","Physical Sciences",11048,7653,205,122389.525545538,80000,48000,146000,2.7
"MULTI/INTERDISCIPLINARY STUDIES","Interdisciplinary",1135,961,27,63373.4089490114,50200,38500,70000,2.8
"MUSIC","Arts",12317,8896,268,60559.8723021583,47000,23000,75000,3
"NATURAL RESOURCES MANAGEMENT","Agriculture & Natural Resources",2102,1634,49,79679.8843329253,65000,40000,95000,3
"NAVAL ARCHITECTURE AND MARINE ENGINEERING","Engineering",602,359,9,122956.740947075,104000,60000,150000,2.5
"NEUROSCIENCE","Biology & Life Science",990,866,27,112036.976905312,62000,45000,134500,3.1
"NUCLEAR ENGINEERING","Engineering",569,441,7,131479.58276644,114000,76000,150000,1.6
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES","Physical Sciences",175,146,2,97715.0684931507,78000,52250,111500,1.4
"NURSING","Health",36201,26770,474,92598.0331714606,80000,54000,110000,1.8
"NUTRITION SCIENCES","Health",2678,2012,44,77416.4965208747,58000,35000,90000,2.2
"OCEANOGRAPHY","Physical Sciences",454,349,9,87959.8853868195,75000,44000,117000,2.6
"OPERATIONS LOGISTICS AND E-COMMERCE","Business",1059,864,31,98575.9490740741,86500,54000,120000,3.6
"OTHER FOREIGN LANGUAGES","Humanities & Liberal Arts",2766,1896,63,83160.5485232067,59000,29000,99000,3.3
"PETROLEUM ENGINEERING","Engineering",468,339,11,173441.15339233,125000,64550,223500,3.2
"PHARMACOLOGY","Biology & Life Science",442,385,4,125929.090909091,1e+05,55000,142000,1
"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION","Health",9147,7206,132,122376.433943936,110000,65000,136750,1.8
"PHILOSOPHY AND RELIGIOUS STUDIES","Humanities & Liberal Arts",15437,10734,323,86578.8693869946,56000,30000,1e+05,3
"PHYSICAL AND HEALTH EDUCATION TEACHING","Education",12001,7161,159,68296.5756179305,60000,38600,81000,2.2
"PHYSICAL FITNESS PARKS RECREATION AND LEISURE","Industrial Arts & Consumer Services",8121,7010,136,70237.310128388,57800,38000,81000,1.9
"PHYSICAL SCIENCES","Physical Sciences",406,258,3,101941.279069767,75000,39400,120000,1.2
"PHYSICS","Physical Sciences",13322,9356,286,116825.496045319,96000,52000,144000,3.1
"PHYSIOLOGY","Biology & Life Science",3410,2884,56,120148.056171983,76000,48000,140000,1.9
"PLANT SCIENCE AND AGRONOMY","Agriculture & Natural Resources",1810,1255,35,75438.7657370518,61000,35000,96000,2.8
"POLITICAL SCIENCE AND GOVERNMENT","Social Science",40814,31253,984,120251.416216043,85000,49400,144000,3.1
"PRE-LAW AND LEGAL STUDIES","Law & Public Policy",1743,1247,51,98134.3392141139,70000,40000,115000,4.1
"PSYCHOLOGY","Psychology & Social Work",70965,53101,1570,78747.4104254157,59000,36000,90000,3
"PUBLIC ADMINISTRATION","Law & Public Policy",2427,1708,88,87469.7365339578,69000,40000,104000,5.2
"PUBLIC POLICY","Law & Public Policy",977,824,36,124258.677184466,88000,53000,140750,4.4
"SCHOOL STUDENT COUNSELING","Education",1298,700,20,53527.8571428571,51000,35000,65000,2.9
"SCIENCE AND COMPUTER TEACHER EDUCATION","Education",4309,2410,42,65609.8991701245,57600,39000,78000,1.7
"SECONDARY TEACHER EDUCATION","Education",14240,6717,118,61226.1795444395,55000,36000,75000,1.8
"SOCIAL PSYCHOLOGY","Psychology & Social Work",437,289,14,71084.0138408304,52000,30000,82000,4.8
"SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION","Education",7026,3805,115,65799.0452036794,55000,35000,78000,3
"SOCIAL WORK","Psychology & Social Work",15317,11358,323,57079.0423490051,50000,34225,70000,2.8
"SOCIOLOGY","Social Science",21879,14543,482,74445.1722478168,58000,35000,89000,3.3
"SOIL SCIENCE","Agriculture & Natural Resources",242,164,7,73902.4390243902,61500,39225,95000,4.3
"SPECIAL NEEDS EDUCATION","Education",11987,8433,147,58374.330487371,55000,40000,72000,1.7
"STATISTICS AND DECISION SCIENCE","Computers & Mathematics",1374,1016,34,104731.546259843,80000,50000,120000,3.3
"STUDIO ARTS","Arts",1848,1386,62,55463.8253968254,45750,25000,70000,4.5
"TEACHER EDUCATION: MULTIPLE LEVELS","Education",4657,2785,54,53899.3500897666,51000,38000,65000,1.9
"THEOLOGY AND RELIGIOUS VOCATIONS","Humanities & Liberal Arts",11008,7347,175,51228.2861031714,40000,24000,62000,2.4
"TRANSPORTATION SCIENCES AND TECHNOLOGIES","Industrial Arts & Consumer Services",1804,1218,41,104603.275862069,90000,55000,126750,3.4
"TREATMENT THERAPY PROFESSIONS","Health",8958,7441,114,78308.7238274425,65000,42000,90000,1.5
"UNITED STATES HISTORY","Humanities & Liberal Arts",1118,634,17,101537.572555205,73000,36000,124750,2.7
"VISUAL AND PERFORMING ARTS","Arts",1052,829,37,58452.5150784077,48000,25000,73200,4.5
"ZOOLOGY","Biology & Life Science",6204,4368,84,150677.538232601,1e+05,54000,2e+05,1.9
